Job Role,Supply Chain area,Qualifications & Memberships,Base/Current Job Role Description,Expected Changes Due to Hydrogen Activities
Work Health and Safety Officer,"Production, Transport and Distribution, Storage, Blending into Gas Networks, Transport Fuel, Export Fuel","● Certificate IV in Work Health and Safety or Bachelor’s Degree in Occupational Health & Safety or higher
● Specialisations in Occupational Hygienist or Workplace Rehabilitation Officer 
● On-the-job training may also be required in addition to formal qualifications.","Work, Health and Safety (WHS) officers are required to develop, implement and evaluate risk management policies and programs and train employees in WHS procedures. They also monitor and audit the workplace and record and investigate incidents to ensure safe and healthy working conditions. These officers may also have specialist or technical expertise in an industrial process that enables them to have oversight of particular safety systems and standards depending on the workplace (e.g. Electrical Inspectors overseeing high voltage systems),","● Knowledge of hydrogen properties, its risks, and interactions with various materials will be expected skills to ensure safe hydrogen processes are adhered to and employees are working in a safe environment
● In addition, WHS officers will need to have a sound knowledge of the various hydrogen production techniques such as electrolysis, steam methane reforming and compressed hydrogen so they can conduct and implement relevant risk management policies and procedures."
Welder,"Transport and Distribution, Blending into Gas Networks","● Bachelor’s Degree or higher in Mechanical or Chemical Engineering, Advanced Diploma of Manufacturing Technology or Advanced Diploma of Engineering.","Welders assemble, weld and repair pressure vessels and pipes
to relevant standards. They shape and bend metal sections
with machine and hand tools, cut metal sections and shapes
with flame and machine tools, and finish products through
cleaning with acidic solutions.","● They will need a basic understanding of hydrogen and its property risks (including its flammability, odour, appearance, and hazardous areas)
● They will also need to know the chemical reactions that hydrogen has with steel and other materials to maintain containment, given that reactions contribute to pipeline embrittlement and crack propagation. For this reason, welders will most likely be expected to work with materials such as stainless steel or high density polyurethane."
Water Treatment Plant Operator,"Production, Storage","● Certificate III in Plumbing or Certificate III in Water Industry Operations
● Confined space entry permit ● Chlorine gas handling certification ● Working at heights certification.","Water treatment plant operators use plant equipment to store, distribute and treat water, including purification where a high quality is needed for electrolysers. They also maintain and calibrate field equipment (such as pH meters), and undertake testing of water samples for quality.","● Water treatment plant operators will need to understand the electrolysis process and how it produces hydrogen
● They will also need an understanding of the basic hydrogen property risks that come with working with hydrogen in its gaseous form, such as its high compression, flammability, and the potential for leakage in pipes and canisters
● Alongside this knowledge of hydrogen as a gas, their knowledge of high pressure gas systems generally may need to be augmented."
Vehicle Body Repair Technician,Transport Fuel,"● Certificate III in Automotive Vehicle Body Repair Technology with at least two years of on the job experience
● Experience with individual OEMs may be required.","Vehicle body repair technicians repair damage to motor vehicle bodies, fit and replace interior trim, and paint vehicles. Vehicle body repair technicians may also be expected to construct new purpose-built bodies for vehicles, and to use mechanical and hydraulic equipment in order to remove, replace and repair damaged panels and parts.","● Vehicle body repair technicians will need a basic understanding of the operations and functions of fuel cell powertrains and the different components they present compared to vehicles with internal combustion engines 
● They will generally need to safely work with high voltage systems, including learning how to depower them so that repairs or maintenance work can be undertaken. 
● They will also need to be familiar with gas systems and the work health and safety procedures required in their workshops to work around gases."
Truck Driver,"Transport and Distribution, Transport Fuel","● Certificate III in Driving Operations,
Certificate IV in Specialist Driving
Operations or a higher-level qualification
● Dangerous goods drivers’ licence.","Truck drivers can transport hydrogen in a compressed gaseous
form in high pressure tubes between different locations. They
will need certification to be a dangerous goods driver and will
need to observe safety requirements when loading or unloading
their vehicles.","● A familiarity with hydrogen’s property risks is needed. This includes an
understanding of hydrogen’s lack of odour and invisibility when ignited, as well as its
flammability
● Truck drivers will also need to have general awareness of the high pressure gas
systems that pipes hydrogen
● They will also need to recognise the signs of cracking or leakage in transported
tubes to address containment issues
● Safety considerations such as knowledge of hazardous areas and safety zones is
paramount."
Technical Sales Representative,Export Fuel,"● Bachelor’s Degree or higher in Business 
Studies, Marketing or Commerce, or 
Certificate III, IV and/or Diploma of Business.","Technical sales representatives are company representatives who sell the company’s goods or services to a range of other industrial and business entities. They market goods to their customers and maintain relationships by anticipating their clients’ needs. They acquire knowledge of market conditions 
and competitor activities, and visit prospective client businesses to act on selling opportunities.","● Technical sales representatives will need to understand the basic chemical properties of hydrogen and be able to speak to the key safety considerations arising from its properties. These considerations could include its flammability, high pressure storage in industrial contexts, and environmental impact
● Depending on their company, they may need to demonstrate knowledge of the various production and storage methods available for hydrogen, such as how electrolysers function and the equipment required to store hydrogen as a gas."
Stevedore,"Transport and Distribution, Transport Fuel, Export Fuel","● Certificate III in Stevedoring
● Relevant licence depending on state/territory jurisdiction.",Stevedores are logistics workers who undertake the activities needed in marine terminals to secure and anchor a ship to transfer goods on and off the ship.,"● A familiarity with hydrogen’s property risks is needed. This includes an understanding of hydrogen’s lack of odour and invisibility when ignited, as well as its flammability
● They will also need to recognise the signs of cracking or leakage in vessels storing hydrogen in order to address containment issues
● In some cases where liquefied hydrogen is being transported, there needs to be an understanding of the cryogenics systems required to store these materials at the required low temperatures
● Safety considerations such as knowledge of hazardous areas and safety zones is paramount."
Research and Technology Manager,"Production, Storage, Transport Fuel","● Bachelor’s Degree or higher in an Engineering discipline or field of Science
● At least five years work experience in the relevant industry.","Research and technology managers plan, organise, direct, control and coordinate the research and development activities within an organisation. They lead major research operations and also monitor leading-edge developments in related disciplines to determine how they will impact the organisation.","● Research and technology managers will need to familiarise themselves with hydrogen’s chemical properties if they are new to the industry. This includes developing an understanding of hydrogen’s lack of odour and invisibility when ignited, as well as its flammability
● They will need to understand how the various hydrogen production and storage technologies function, and what chemical properties limit their various applications (e.g. molten carbonate fuel cells have a long start-up time that makes them suitable only in some contexts)
● They will need an awareness of the changing market architecture of hydrogen and how regulation is developing to shape consumer interactions with hydrogen technologies."
Relationship and Community Manager,"Storage, Transport Fuel","● Bachelor’s Degree or higher in Media and Communications, Marketing, Commerce or a related field
● At least five years work experience in the relevant industry.","Relationship and community managers plan, organise, direct, control and coordinate public relations and community outreach activities within an organisation. They direct development and implementation of strategies that build a company’s public image and reputation with clients, investors, regulators and the wider public.","● Relationship and community managers will need to familiarise themselves with hydrogen’s chemical properties if they are new to the industry. This includes an understanding of hydrogen’s lack of odour and invisibility when ignited, as well as its flammability
● They will need to understand how the various hydrogen production and storage technologies function, and be able to explain their operations to government and regulatory groups (e.g. clarifying what emissions arise from operations, or how fuel cells differ from combustion engines)
● They will need an awareness of the changing market architecture of hydrogen and how regulation is being developed as this will shape consumer interactions with hydrogen technologies."
Refuelling Technician,"Transport and Distribution, Transport Fuel","● Certificate III in Gas Industry Supply Operations
● Up to five years experience in related projects in gas or oil processing.","Refuelling technicians operate equipment to pump gas from
storage tanks to gas vehicles. They set automated operating
controls, inspect equipment for malfunctions and arrange for
maintenance, and control records of production, including
quantities transferred and other operational details.","● They will need a basic understanding of hydrogen and its property risks (including its flammability, odour, appearance, and hazardous areas), as these will affect how they operate the control modules and components that moderate its chemical processes 
● They will also need a recognition of the high pressure gas vessels that transport and hold hydrogen as well as the faults that may arise from hydrogen reactions with steel (e.g. embrittlement and crack propagation)."
Quality Assurance Technician,"Production, Transport and Distribution, Storage, Blending into Gas Networks, Transport Fuel, Export Fuel","● Diploma of Engineering or Diploma of Manufacturing Technology or higher education degree in these areas
● Certificate IV in Hazardous Areas – Electrical in some industries
● At least five years of work experience may substitute for formal qualifications
● On-the-job training may also be required in addition to formal qualifications.","Quality assurance technicians are required to plan, organise, direct, control and coordinate the deployment of quality systems and certification processes within an organisation. These technicians may have specialist or technical expertise in a particular regulatory framework or industrial process that allows them to conduct audits and examinations of specific environmental factors or workplace tasks (e.g. certificates of origin, energy audits, sustainability checks, material purity tests etc.).","● Knowledge of hydrogen’s property risks and interactions with various materials will be an expected skill, coupled with ensuring quality and environmental standards are met
● In addition, quality assurance technicians will need to have a sound knowledge of the various hydrogen production techniques such as electrolysis, steam methane reforming and compressed hydrogen so they can conduct tests to ensure quality."
Process Control Technician,"Production, Blending into Gas Networks","● Diploma of Instrumentation and Control Engineering or a Bachelor’s Degree in a 
related Engineering discipline or Information Systems
● Up to five years experience in related projects.","Process control technicians conduct tests of electronic systems, collect and analyse data and assemble circuitry. They may support electronics engineers in their work. They develop, construct, test and maintain electronic equipment on the site.","● They will need a basic understanding of hydrogen and its property risks (including its flammability, odour, appearance, and hazardous areas), as these will affect their programming of control modules and how they moderate its chemical processes
● They will also need an understanding of the interchangeability of hydrogen with other gases in terms of its heating and calorific value, and what processes result in these transformations."
Power Production Plant Operator,Blending into Gas Networks,"● Certificate III in ESI Generation – 
Operations, including at least two years of on-the-job training
● At least three years post-trade experience in related projects.","Power production plant operators control boilers, turbo-generators and other associated plant equipment to generate electrical power. They operate plant controls to produce the required load, monitor operations and interpret instrument readings, and undertake authorised procedures to isolate low and high voltage electrical apparatus.","● Power production plant operators will need to understand the interchangeability of hydrogen with other gases (in this case natural gas) and the properties on which it differs, such as its calorific content
● They would also need knowledge of hydrogen storage techniques and the risks that come with handling it in its various forms, (e.g. its flammability and high compression when stored as a gas, and the need for low temperatures for storage when it is liquefied)."
Plumber,Transport and Distribution,"● Certificate III in Plumbing alongside two years of the on-the-job experience
● Confined space entry permit
● Relevant licence depending on state/territory jurisdiction.","Plumbers install and repair water, drainage, gas and sewerage pipes and systems. They study blueprints and technical drawings to determine the layout of plumbing systems and the required materials and design of water supply systems and pipes, and install sewage and effluent pumping systems.","● Plumbers will need a basic understanding of hydrogen and its property risks 
(including its flammability, odour, appearance, and hazardous areas), as well as the faults that may arise from hydrogen’s chemical reactions with steel (e.g. 
embrittlement and crack propagation)
● Plumbers will also need familiarity with the different materials used in hydrogen piping, such as high-density polyethylene."
