id,requirement
1,This programming may also demand integrating specific components from various suppliers who specialise in hydrogen production 
2,Knowledge of electrolyser hydrogen production plant control systems and advanced control systems for process optimisation
3,"Experience and knowledge of hydrogen fueling equipment, technology and systems including on-site generation, compression, cooling systems, storage and dispensing
"
4,"Knowledge of hydrogen technologies and value proposition and benefits re: socio-economic, environment, climate change, etc."
5,"Materials, coatings, and inhibitors to use and correct application to protect from hydrogen corrosion"
6,Knowledge of key instrumentation and electrical equipment and systems associated with hydrogen pipeline transmission including compression
7,"In some cases, automotive electricians may need to have a familiarity of different supplier parts that have been integrated into the electric vehicle’s assemblies. This may assist with diagnostic fault-finding and testing."
8,Nothing that specifically impacts this occupation’s ability to apply expertise to the hydrogen industry
9,"They may generally need to develop problem-solving and analytical skills to diagnose some of the unique electrical faults that arise with fuel cells, and issues that may arise with built-for-purpose vehicle components (e.g. fuel connectors) "
10,"Selection, calibration, and maintenance of key instrumentation equipment and systems associated with power generation using hydrogen blending"
11,Embrittlement and crack propagation caused by molecular interaction between steel and hydrogen will influence the materials that mechanical engineers select on their project 
12,Understanding properties and characteristics of hydrogen in a liquid and gaseous state
13,"Research and technology managers will need to familiarise themselves with hydrogen’s chemical properties if they are new to the industry. This includes developing an understanding of hydrogen’s lack of odour and invisibility when ignited, as well as its flammability "
14,"Knowledge of the practices, technologies, equipment, and systems to control hydrogen corrosion or embrittlement"
15,Water treatment plant operators will need to understand the electrolysis process and how it produces hydrogen 
16,"Materials, coatings and inhibitors to use and correct application to protect from hydrogen corrosion "
17,"Appropriate selection, design, and maintenance of hydrogen fuel tanks, piping systems and fitting, valves, and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold)"
18,"Understanding electrochemical reactions, processes, and hydrogen production"
19,"Knowledge and selection of type of materials, coatings and inhibitors to use to protect from hydrogen corrosion and embrittlement
"
20,"They will need to understand how the various hydrogen production and storage technologies function, and be able to explain their operations to government and regulatory groups (e.g. clarifying what emissions arise from operations, or how fuel cells differ from combustion engines) "
21,Design and selection of compression systems for hydrogen pressure and temperatures associated with hydrogen fueling system
22,"Keep up-to-date with changes to hydrogen technology, regulations, standards and codes and assess impact to safety requirements"
23,Appropriate selection and maintenance of stationary and rotating equipment and systems required for pipeline transmission of gaseous hydrogen
24,"Depending on previous experience, their skills in designing and interpreting plans for either power electronics or high pressure gas systems may need some augmentation to understand how they interact in hydrogen production plants "
25,"Hydrogen refueling
"
26,Understanding of properties and characteristics of hydrogen in a gaseous state
27,"Hydrogen properties, behaviour, and potential hazards created"
28,Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with power generation using hydrogen blending
29,"They will also need an understanding of the interchangeability of hydrogen with other gases in terms of its heating and calorific value, and what processes result in these transformations."
30,"Understanding of hydrogen technologies, and economic and social advantages and disadvantages"
31,Understanding measurement equipment and instrumentation associated with hydrogen transmission
32,"Commissioning engineers will need to understand the breadth of production and storage methods for hydrogen, such as electrolysis, steam methane reformation, and in the short term, coal gasification "
33,Understanding of combined-cycle power generation using hydrogen blending 
