Occupation,Hydrogen Capabilities,Value Chain,Technology
Plant manager,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Drilling and completions supervisor,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Pipeline scheduler,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Asset performance manager,"Understanding technical factors associated with using hydrogen blending for heating; Knowledge of hydrogen related regulations, standards, and codes; Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Utility services planner,"Knowledge of hydrogen related regulations, standards, and codes; Knowledge of odorants used to assist with leak detection of hydrogen; Materials, coatings, and inhibitors to use and correct application to protect from hydrogen corrosion; Practices, technologies, equipment, and systems to control hydrogen corrosion or embrittlement; Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Maintenance planner,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Power scheduler,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Project manager,"Knowledge of hydrogen related regulations, standards, and codes; Strong industry knowledge and experience with hydrogen technologies, processes and equipment, and components to use to withstand hydrogen pressure and temperatures; Comprehensive understanding of aspects of installation and testing procedures that are different due to the nature of hydrogen; Knowledge of materials, equipment, and components to use to withstand hydrogen pressure and temperatures; Procedures to trace, locate, and repair hydrogen leaks.1; Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Business and technology manager development manager,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Supply chain manager,Safety when working with or around hydrogen,Hydrogen End-Use Application,Hydrogen Heating Application
Sales and marketing manager,"Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Administrative manager,"Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Investment manager,"Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Communications manager,"Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
