Occupation,Hydrogen Capabilities,Value Chain,Technology
Renewable Interconnect Specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Automation and Control Specialist,"Understanding hydrogen compression processes; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
"Geoscience Professional: Geologist, Geophysicist, Geotechnical Specialist",,Hydrogen Distribution and Transportation ,<not_included>
Compression specialist,"Appropriate selection, design, and maintenance of hydrogen compression, turbine systems, and equipment; Knowledge of the practices, technologies, equipment, and systems to control hydrogen corrosion or embrittlement ",Hydrogen Distribution and Transportation ,<not_included>
Corrosion specialist,"Knowledge and selection of the type of materials, coatings, and inhibitors to use to protect from hydrogen corrosion and embrittlement; Understanding relevant hydrogen regulations, codes, and standards; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Measurement specialist,"Knowledge of hydrogen value chains; Understanding measurement equipment and instrumentation associated with hydrogen transmission; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Pipeline integrity specialist,"Knowledge and selection of the type of materials, coatings, and inhibitors to use to protect from hydrogen corrosion and embrittlement; Understanding materials behaviour in high pressure hydrogen; Appropriate selection and design of vessels, compressors, piping systems and fitting, valves, and seals to withstand high hydrogen pressure; Understanding properties and characteristics of hydrogen in a gaseous state; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Tank tester or inspector,"Understanding hydrogen compression processes; Appropriate selection and maintenance of materials and equipment to withstand hydrogen pressure and temperatures; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Transportation solutions advisor,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Hydrogen integration specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
