Occupation,Hydrogen Capabilities,Value Chain,Technology
Renewable Interconnect Specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Automation and Control Specialist,"Knowledge of automated process systems and control systems associated with power generation using hydrogen blending; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
"Geoscience Professional: Geologist, Geophysicist, Geotechnical Specialist",,Hydrogen End-Use Application,Hydrogen Power Generation 
Compression specialist,"Appropriate selection, design, and maintenance of power generation equipment including compression, turbines, combustion, and such for hydrogen blending",Hydrogen End-Use Application,Hydrogen Power Generation 
Corrosion specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Measurement specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Pipeline integrity specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Tank tester or inspector,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Transportation solutions advisor,"Appropriate selection of materials, coatings, odorants, inhibitors, and such for hydrogen blending; Appropriate selection, design, and maintenance of power generation equipment including compression, turbines, combustion, and such for hydrogen blending; Appropriate selection, design, modification to ventilation, leak detection, flame detection, corrosion prevention equipment, and systems for hydrogen blending ; Knowledge of hydrogen related regulations, standards, and codes; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Hydrogen integration specialist,"Strong industry knowledge and experience with hydrogen technologies, processes equipment, and components to withstand hydrogen pressure and temperatures; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Utility inspector,"Maintenance of equipment and systems involved in combined cycle power generation using hydrogen blending; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Economic modelling specialist,,Hydrogen End-Use Application,Hydrogen Power Generation 
Economist,,Hydrogen End-Use Application,Hydrogen Power Generation 
Finance specialist,,Hydrogen End-Use Application,Hydrogen Power Generation 
Communications and marketing specialist,,Hydrogen End-Use Application,Hydrogen Power Generation 
Lawyer,"Knowledge of hydrogen related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation 
Safety and hazards specialist,"Hydrogen properties, behaviour, and potential hazards created",Hydrogen End-Use Application,Hydrogen Power Generation 
