Occupation,Hydrogen Capabilities,Value Chain,Technology
Renewable Interconnect Specialist,"Knowledge of key high power electrical equipment and interconnection applications associated with renewable electricity–powered electrolyser produced hydrogen; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Automation and Control Specialist,"Knowledge of automated process systems and control systems associated with electrolysers; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
"Geoscience Professional: Geologist, Geophysicist, Geotechnical Specialist",,Hydrogen Production,<not_included>
Compression specialist,,Hydrogen Production,<not_included>
Corrosion specialist,"Knowledge of hydrogen gas value chains; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Measurement specialist,"Understanding electrochemical reactions, processes, and hydrogen production ; Knowledge of hydrogen gas value chains; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Pipeline integrity specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Tank tester or inspector,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Transportation solutions advisor,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Hydrogen integration specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Utility inspector,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Economic modelling specialist,"Understanding hydrogen production process ; Knowledge of hydrogen gas value chains; Insights on hydrogen production, economies, risks, technology, renewables, and scaling",Hydrogen Production,<not_included>
Economist,"Understanding hydrogen production process ; Knowledge of hydrogen gas value chains; Insights on hydrogen production, economies, risks, technology, renewables, and scaling",Hydrogen Production,<not_included>
Finance specialist,"Understanding hydrogen production process ; Knowledge of hydrogen gas value chains; Insights on hydrogen production, economies, risks, technology, renewables, and scaling",Hydrogen Production,<not_included>
Communications and marketing specialist,Understanding hydrogen production process ; Knowledge of hydrogen gas value chains,Hydrogen Production,<not_included>
Lawyer,Understanding hydrogen production process ; Knowledge of hydrogen gas value chains,Hydrogen Production,<not_included>
Safety and hazards specialist,"Understanding hydrogen production process ; Knowledge of hydrogen gas value chains; Hydrogen properties, behaviour, and potential hazards created",Hydrogen Production,<not_included>
Business developer,"Understanding hydrogen production process ; Appropriate selection, design, and maintenance of electrolysers, vessels, compressors, piping systems and fitting, valves, and seals to withstand hydrogen pressure and temperatures; Appropriate selection, design, and maintenance of combustion, compression, pumping and turbine systems, and equipment to withstand hydrogen pressure and temperatures; Knowledge of hydrogen gas value chains; Insights on hydrogen production, economies, risks, technology, renewables, and scaling; Hydrogen properties, behaviour, and potential hazards created",Hydrogen Production,<not_included>
Supply chain specialist,"Understanding hydrogen production process ; Appropriate selection, design, and maintenance of electrolysers, vessels, compressors, piping systems and fitting, valves, and seals to withstand hydrogen pressure and temperatures; Appropriate selection, design, and maintenance of combustion, compression, pumping and turbine systems, and equipment to withstand hydrogen pressure and temperatures; Knowledge of hydrogen gas value chains; Insights on hydrogen production, economies, risks, technology, renewables, and scaling; Hydrogen properties, behaviour, and potential hazards created",Hydrogen Production,<not_included>
Power-to-X technology specialist,"Understanding hydrogen production process ; Appropriate selection, design, and maintenance of electrolysers, vessels, compressors, piping systems and fitting, valves, and seals to withstand hydrogen pressure and temperatures; Appropriate selection, design, and maintenance of combustion, compression, pumping and turbine systems, and equipment to withstand hydrogen pressure and temperatures; Knowledge of hydrogen gas value chains; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Hydrogen value chain e×pert,"Understanding hydrogen production process ; Appropriate selection, design, and maintenance of electrolysers, vessels, compressors, piping systems and fitting, valves, and seals to withstand hydrogen pressure and temperatures; Appropriate selection, design, and maintenance of combustion, compression, pumping and turbine systems, and equipment to withstand hydrogen pressure and temperatures; Knowledge of hydrogen gas value chains; Insights on hydrogen production, economies, risks, technology, renewables, and scaling; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Public relations specialist,Understanding hydrogen production process ; Knowledge of hydrogen gas value chains,Hydrogen Production,<not_included>
Administration specialist,Understanding hydrogen production process ; Knowledge of hydrogen gas value chains,Hydrogen Production,<not_included>
IT specialist,Understanding hydrogen production process ; Knowledge of hydrogen gas value chains,Hydrogen Production,<not_included>
Sustainability specialist,"Understanding hydrogen production process ; Knowledge of hydrogen gas value chains; Insights on hydrogen production, economies, risks, technology, renewables, and scaling",Hydrogen Production,<not_included>
