Occupation,Hydrogen Capabilities,Value Chain,Technology
Renewable Interconnect Specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Automation and Control Specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
"Geoscience Professional: Geologist, Geophysicist, Geotechnical Specialist",Understanding properties and characteristics of hydrogen in a gaseous state,Hydrogen Storage,<not_included>
Compression specialist,"Appropriate selection, design, and maintenance of hydrogen compression, turbine systems, and equipment; Understanding hydrogen compression processes",Hydrogen Storage,<not_included>
Corrosion specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Measurement specialist,"Understanding measurement equipment and instrumentation associated with hydrogen transmission; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Pipeline integrity specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Tank tester or inspector,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Transportation solutions advisor,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Hydrogen integration specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Utility inspector,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Economic modelling specialist,,Hydrogen Storage,<not_included>
Economist,,Hydrogen Storage,<not_included>
Finance specialist,,Hydrogen Storage,<not_included>
Communications and marketing specialist,,Hydrogen Storage,<not_included>
Lawyer,,Hydrogen Storage,<not_included>
Safety and hazards specialist,"Hydrogen properties, behaviour, and potential hazards created",Hydrogen Storage,<not_included>
Business developer,"Hydrogen properties, behaviour, and potential hazards created",Hydrogen Storage,<not_included>
Supply chain specialist,"Hydrogen properties, behaviour, and potential hazards created",Hydrogen Storage,<not_included>
Power-to-X technology specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Hydrogen value chain e×pert,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Public relations specialist,,Hydrogen Storage,<not_included>
Administration specialist,,Hydrogen Storage,<not_included>
IT specialist,,Hydrogen Storage,<not_included>
Sustainability specialist,,Hydrogen Storage,<not_included>
Innovation specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Energy storage specialist,"Understanding properties and characteristics of hydrogen in a gaseous state; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Energy transition specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Operation optimisation specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Technology commercialisation Specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Grid operation specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
BOP specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Land acquisition specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Nanotechnology specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Marine engines e×pert,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Artificial intelligence specialist,,Hydrogen Storage,<not_included>
Cybersecurity specialist,,Hydrogen Storage,<not_included>
Political scientist,,Hydrogen Storage,<not_included>
