Occupation,Hydrogen Capabilities,Value Chain,Technology
Renewable Interconnect Specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Automation and Control Specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
"Geoscience Professional: Geologist, Geophysicist, Geotechnical Specialist",,Hydrogen End-Use Application,Hydrogen Transportation
Compression specialist,,Hydrogen End-Use Application,Hydrogen Transportation
Corrosion specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Measurement specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Pipeline integrity specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Tank tester or inspector,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Transportation solutions advisor,"Knowledge of hydrogen fuel cell technology, how it works, and value proposition relating to emissions targets and cost-effectiveness; Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets; Understanding relevant hydrogen regulations, codes, and standards; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Hydrogen integration specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Utility inspector,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Economic modelling specialist,,Hydrogen End-Use Application,Hydrogen Transportation
Economist,,Hydrogen End-Use Application,Hydrogen Transportation
Finance specialist,,Hydrogen End-Use Application,Hydrogen Transportation
Communications and marketing specialist,,Hydrogen End-Use Application,Hydrogen Transportation
Lawyer,"Understanding relevant hydrogen regulations, codes, and standards",Hydrogen End-Use Application,Hydrogen Transportation
Safety and hazards specialist,"Hydrogen properties, behaviour, and potential hazards created",Hydrogen End-Use Application,Hydrogen Transportation
Business developer,"Hydrogen properties, behaviour, and potential hazards created",Hydrogen End-Use Application,Hydrogen Transportation
Supply chain specialist,"Knowledge of hydrogen fuel cell technology, how it works, and value proposition relating to emissions targets and cost-effectiveness; Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets; Understanding relevant hydrogen regulations, codes, and standards; Hydrogen properties, behaviour, and potential hazards created",Hydrogen End-Use Application,Hydrogen Transportation
Power-to-X technology specialist,"Knowledge of hydrogen fuel cell technology, how it works, and value proposition relating to emissions targets and cost-effectiveness; Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets; Understanding relevant hydrogen regulations, codes, and standards; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Hydrogen value chain e×pert,"Knowledge of hydrogen fuel cell technology, how it works, and value proposition relating to emissions targets and cost-effectiveness; Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets; Understanding relevant hydrogen regulations, codes, and standards; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Public relations specialist,,Hydrogen End-Use Application,Hydrogen Transportation
Administration specialist,,Hydrogen End-Use Application,Hydrogen Transportation
IT specialist,,Hydrogen End-Use Application,Hydrogen Transportation
Sustainability specialist,,Hydrogen End-Use Application,Hydrogen Transportation
Innovation specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Energy storage specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Energy transition specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Operation optimisation specialist,"Knowledge of hydrogen fuel cell technology, how it works, and value proposition relating to emissions targets and cost-effectiveness; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Technology commercialisation Specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Grid operation specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
BOP specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Land acquisition specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Nanotechnology specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Marine engines e×pert,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Artificial intelligence specialist,,Hydrogen End-Use Application,Hydrogen Transportation
Cybersecurity specialist,,Hydrogen End-Use Application,Hydrogen Transportation
Political scientist,,Hydrogen End-Use Application,Hydrogen Transportation
