Occupation,Hydrogen Capabilities,Value Chain,Technology
Plant manager,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Transportation
Drilling and completions supervisor,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Transportation
Pipeline scheduler,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Transportation
Asset performance manager,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Transportation
Utility services planner,"Knowledge of hydrogen fuel cell technology, how it works, and value proposition relating to emissions targets and cost-effectiveness; Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Transportation
Maintenance planner,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Transportation
Power scheduler,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Transportation
Project manager,"Knowledge of hydrogen fuel cell technology, how it works, and value proposition relating to emissions targets and cost-effectiveness; Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets; Understanding relevant hydrogen regulations, codes, and standards; Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Transportation
Business and technology manager development manager,"Knowledge of hydrogen fuel cell technology, how it works, and value proposition relating to emissions targets and cost-effectiveness; Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Transportation
Supply chain manager,Safety when working with or around hydrogen,Hydrogen End-Use Application,Hydrogen Transportation
Sales and marketing manager,"Knowledge of hydrogen fuel cell technology, how it works, and value proposition relating to emissions targets and cost-effectiveness; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Transportation
Administrative manager,"Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Transportation
Investment manager,"Knowledge of hydrogen fuel cell technology, how it works, and value proposition relating to emissions targets and cost-effectiveness; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Transportation
Communications manager,"Knowledge of hydrogen fuel cell technology, how it works, and value proposition relating to emissions targets and cost-effectiveness; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Transportation
