Occupation,Hydrogen Capabilities,Value Chain,Technology
Commissioning Technician,"Appropriate selection and
maintenance of compression and
turbine systems and equipment to
withstand hydrogen pressure; Appropriate selection and
maintenance of electrical equipment
and instrumentation systems required
for pipeline transmission of gaseous
hydrogen; Appropriate selection and
maintenance of stationary and
rotating equipment and systems
required for pipeline transmission of
gaseous hydrogen; Understanding hydrogen
compression processes; Appropriate selection and
maintenance of materials and
equipment to withstand hydrogen
pressure and temperatures; Appropriate selection, design, and
maintenance of hydrogen fuel tanks,
piping systems and fitting, valves,
and seals to withstand hydrogen
pressure (high/low) and temperatures
(hot/cold); Knowledge of fuel cell technology; Knowledge of fuel cell technology and
hydro-electric power trains; Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen; Operating, monitoring, maintaining,
and testing hydrogen-related
equipment",Hydrogen Distribution ,
Chemical Process Technician,"Appropriate selection and
maintenance of compression and
turbine systems and equipment to
withstand hydrogen pressure; Understanding hydrogen
compression processes; Appropriate selection, design, and
maintenance of hydrogen fuel tanks,
piping systems and fitting, valves,
and seals to withstand hydrogen
pressure (high/low) and temperatures
(hot/cold); Knowledge of fuel cell technology; Knowledge of fuel cell technology and
hydro-electric power trains; Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen; Knowledge of hydrogen-related
regulations, standards, and codes",Hydrogen Distribution ,
Chemical Laboratory Technician,"Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen; Knowledge of hydrogen-related
regulations, standards, and codes",Hydrogen Distribution ,
Mechanical Technician,"Appropriate selection and
maintenance of stationary and
rotating equipment and systems
required for pipeline transmission of
gaseous hydrogen; Knowledge of fuel cell technology; Knowledge of fuel cell technology and
hydro-electric power trains; Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen",Hydrogen Distribution ,
Maintenance Technician,"Appropriate selection and
maintenance of stationary and
rotating equipment and systems
required for pipeline transmission of
gaseous hydrogen; Knowledge of fuel cell technology; Knowledge of fuel cell technology and
hydro-electric power trains; Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen; Knowledge of hydrogen-related
regulations, standards, and codes; Operating, monitoring, maintaining,
and testing hydrogen-related
equipment",Hydrogen Distribution ,
Test Technician,"Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen; Operating, monitoring, maintaining,
and testing hydrogen-related
equipment",Hydrogen Distribution ,
Cylinder Technician,"Understanding hydrogen
compression processes; Appropriate selection and
maintenance of materials and
equipment to withstand hydrogen
pressure and temperatures; Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen",Hydrogen Distribution ,
Fuel Cell Electric Vehicle (FCEV) Technician,"Appropriate selection, design, and
maintenance of hydrogen fuel tanks,
piping systems and fitting, valves,
and seals to withstand hydrogen
pressure (high/low) and temperatures
(hot/cold); Knowledge of fuel cell technology; Knowledge of fuel cell technology and
hydro-electric power trains; Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen",Hydrogen Distribution ,
Fuel Cell Technician,"Appropriate selection, design, and
maintenance of hydrogen fuel tanks,
piping systems and fitting, valves,
and seals to withstand hydrogen
pressure (high/low) and temperatures
(hot/cold); Knowledge of fuel cell technology; Knowledge of fuel cell technology and
hydro-electric power trains; Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen",Hydrogen Distribution ,
HVAC Technician,"Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen; Knowledge of hydrogen-related
regulations, standards, and codes",Hydrogen Distribution ,
Electrolyser Technician,"Knowledge of fuel cell technology; Knowledge of fuel cell technology and
hydro-electric power trains",Hydrogen Distribution ,
Refueling Techician,"Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen; Knowledge of hydrogen-related
regulations, standards, and codes",Hydrogen Distribution ,
Utility Service Technician,"Knowledge of hydrogen-related
regulations, standards, and codes",Hydrogen Distribution ,
Instrumentation Technician,"Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen",Hydrogen Distribution ,
Mechatronics Technician,"Appropriate selection and
maintenance of stationary and
rotating equipment and systems
required for pipeline transmission of
gaseous hydrogen; Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen",Hydrogen Distribution ,
Materials Technician,"Appropriate selection and
maintenance of materials and
equipment to withstand hydrogen
pressure and temperatures; Appropriate selection, design, and
maintenance of hydrogen fuel tanks,
piping systems and fitting, valves,
and seals to withstand hydrogen
pressure (high/low) and temperatures
(hot/cold); Knowledge of fuel cell technology; Knowledge of fuel cell technology and
hydro-electric power trains; Hydrogen properties, behaviour, and
potential hazards created; Operating, monitoring, maintaining,
and testing hydrogen-related
equipment",Hydrogen Distribution ,
Marine Technician,"Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen; Knowledge of hydrogen-related
regulations, standards, and codes",Hydrogen Distribution ,
Electrochemical Technician,"Understanding hydrogen
compression processes; Knowledge of fuel cell technology; Knowledge of fuel cell technology and
hydro-electric power trains; Hydrogen properties, behaviour, and
potential hazards created",Hydrogen Distribution ,
Safety Technician,"Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen; Knowledge of hydrogen-related
regulations, standards, and codes",Hydrogen Distribution ,
System Integration Technician,"Appropriate selection and
maintenance of compression and
turbine systems and equipment to
withstand hydrogen pressure; Appropriate selection and
maintenance of electrical equipment
and instrumentation systems required
for pipeline transmission of gaseous
hydrogen; Appropriate selection, design, and
maintenance of hydrogen fuel tanks,
piping systems and fitting, valves,
and seals to withstand hydrogen
pressure (high/low) and temperatures
(hot/cold)",Hydrogen Distribution ,
Operation Technician,"Hydrogen properties, behaviour, and
potential hazards created; Knowledge of hydrogen-related
regulations, standards, and codes; Operating, monitoring, maintaining,
and testing hydrogen-related
equipment",Hydrogen Distribution ,
Renewable Energy Technician,"Understanding hydrogen
compression processes; Knowledge of fuel cell technology; Knowledge of fuel cell technology and
hydro-electric power trains; Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen; Operating, monitoring, maintaining,
and testing hydrogen-related
equipment",Hydrogen Distribution ,
Welder,"Appropriate selection and
maintenance of compression and
turbine systems and equipment to
withstand hydrogen pressure",Hydrogen Distribution ,
Assembly Technician,"Appropriate selection and
maintenance of compression and
turbine systems and equipment to
withstand hydrogen pressure; Knowledge of fuel cell technology; Knowledge of fuel cell technology and
hydro-electric power trains",Hydrogen Distribution ,
Manufacturing Production Technician,"Understanding hydrogen
compression processes; Knowledge of fuel cell technology; Knowledge of fuel cell technology and
hydro-electric power trains; Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen; Operating, monitoring, maintaining,
and testing hydrogen-related
equipment",Hydrogen Distribution ,
"Pipeline Technician: Electrical and Instrumentation, Mechanical","Appropriate selection and
maintenance of electrical equipment
and instrumentation systems required
for pipeline transmission of gaseous
hydrogen; Appropriate selection and
maintenance of stationary and
rotating equipment and systems
required for pipeline transmission of
gaseous hydrogen; Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen; Knowledge of hydrogen-related
regulations, standards, and codes",Hydrogen Distribution ,
Locomotive Electrician,"Appropriate selection, design, and
maintenance of hydrogen fuel tanks,
piping systems and fitting, valves,
and seals to withstand hydrogen
pressure (high/low) and temperatures
(hot/cold); Knowledge of fuel cell technology and
hydro-electric power trains; Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen",Hydrogen Distribution ,
Electrician,"Knowledge of fuel cell technology; Knowledge of fuel cell technology and
hydro-electric power trains; Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen",Hydrogen Distribution ,
Drilling Crew,,Hydrogen Distribution ,
Reservoir Technoligist,"Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen",Hydrogen Distribution ,
Compression Station Operator,"Appropriate selection and
maintenance of compression and
turbine systems and equipment to
withstand hydrogen pressure; Understanding hydrogen
compression processes",Hydrogen Distribution ,
Control Room Operator,"Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen",Hydrogen Distribution ,
Well Completions Operator,"Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen; Knowledge of hydrogen-related
regulations, standards, and codes",Hydrogen Distribution ,
Plant Operator,"Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen",Hydrogen Distribution ,
Utility Operator,"Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen; Knowledge of hydrogen-related
regulations, standards, and codes",Hydrogen Distribution ,
