Occupation,Hydrogen Capabilities,Value Chain,Technology
Commissioning Technician,"Knowledge of appropriate maintenance of hydrogen fuelling systems including pressure vessels, vaporizers, flow, level and pressure control instrumentation, dispensers, pumps, programmable logic controllers (PLC), compressors, human–machine interface, and control software ; Appropriate selection and maintenance of pressure vessels, compression systems and related instrumentation, and controls equipment and systems associated with hydrogen fuelling system; Troubleshooting and routine maintenance of hydrogen fuel compression and dispensing equipment; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Fueling Station
Chemical Process Technician,"Appropriate selection and maintenance of pressure vessels, compression systems and related instrumentation, and controls equipment and systems associated with hydrogen fuelling system; Troubleshooting and routine maintenance of hydrogen fuel compression and dispensing equipment; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fueling Station
Chemical Laboratory Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fueling Station
Mechanical Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fueling Station
Maintenance Technician,"Knowledge of appropriate maintenance of hydrogen fuelling systems including pressure vessels, vaporizers, flow, level and pressure control instrumentation, dispensers, pumps, programmable logic controllers (PLC), compressors, human–machine interface, and control software ; Appropriate selection and maintenance of pressure vessels, compression systems and related instrumentation, and controls equipment and systems associated with hydrogen fuelling system; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Fueling Station
Test Technician,"Troubleshooting and routine maintenance of hydrogen fuel compression and dispensing equipment; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Fueling Station
Cylinder Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fueling Station
Fuel Cell Electric Vehicle (FCEV) Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fueling Station
Fuel Cell Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fueling Station
HVAC Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fueling Station
Electrolyser Technician,,Hydrogen End-Use Application,Hydrogen Fueling Station
Refueling Techician,"Knowledge of appropriate maintenance of hydrogen fuelling systems including pressure vessels, vaporizers, flow, level and pressure control instrumentation, dispensers, pumps, programmable logic controllers (PLC), compressors, human–machine interface, and control software ; Appropriate selection and maintenance of pressure vessels, compression systems and related instrumentation, and controls equipment and systems associated with hydrogen fuelling system; Troubleshooting and routine maintenance of hydrogen fuel compression and dispensing equipment; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fueling Station
Utility Service Technician,"Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fueling Station
Instrumentation Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fueling Station
Mechatronics Technician,"Knowledge of appropriate maintenance of hydrogen fuelling systems including pressure vessels, vaporizers, flow, level and pressure control instrumentation, dispensers, pumps, programmable logic controllers (PLC), compressors, human–machine interface, and control software ; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fueling Station
