Occupation,Hydrogen Capabilities,Value Chain,Technology
Commissioning Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Heating Application
Chemical Process Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Chemical Laboratory Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Mechanical Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Maintenance Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Heating Application
Test Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Heating Application
Cylinder Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Fuel Cell Electric Vehicle (FCEV) Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Fuel Cell Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
HVAC Technician,"Understanding aspects of installation and testing procedures that are different due to the nature of hydrogen; Knowledge of the materials, equipment, and components to use to withstand hydrogen pressure and temperatures; Welding procedures and techniques appropriate for hydrogen; Knowledge of the practices, technologies, equipment, and systems to control hydrogen corrosion or embrittlement; Understanding procedures to trace, locate, and repair hydrogen leaks ; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Electrolyser Technician,,Hydrogen End-Use Application,Hydrogen Heating Application
Refueling Techician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Utility Service Technician,"Understanding aspects of installation and testing procedures that are different due to the nature of hydrogen; Understanding procedures to trace, locate, and repair hydrogen leaks ; Knowledge of odorants used to assist with leak detection of hydrogen; Understanding the materials, coatings, and inhibitors to use and correct application to protect from hydrogen corrosion; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Instrumentation Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Mechatronics Technician,"Knowledge of the practices, technologies, equipment, and systems to control hydrogen corrosion or embrittlement; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Materials Technician,"Knowledge of the materials, equipment, and components to use to withstand hydrogen pressure and temperatures; Understanding the materials, coatings, and inhibitors to use and correct application to protect from hydrogen corrosion; Hydrogen properties, behaviour, and potential hazards created; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Heating Application
