Occupation,Hydrogen Capabilities,Value Chain,Technology
Commissioning Technician,"Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with power generation using hydrogen blending; Selection, calibration, and maintenance of key instrumentation equipment and systems associated with power generation using hydrogen blending; Maintenance of vessels, compressors, turbines, piping systems and fitting, valves, and such to withstand hydrogen pressure and temperatures; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Power Generation
Chemical Process Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
Chemical Laboratory Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
Mechanical Technician,"Maintenance of vessels, compressors, turbines, piping systems and fitting, valves, and such to withstand hydrogen pressure and temperatures; Knowledge of appropriate materials, seals, and coatings to use with hydrogen blending; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
Maintenance Technician,"Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with power generation using hydrogen blending; Selection, calibration, and maintenance of key instrumentation equipment and systems associated with power generation using hydrogen blending; Maintenance of vessels, compressors, turbines, piping systems and fitting, valves, and such to withstand hydrogen pressure and temperatures; Knowledge of appropriate materials, seals, and coatings to use with hydrogen blending; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Power Generation
Test Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Power Generation
Cylinder Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
Fuel Cell Electric Vehicle (FCEV) Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
Fuel Cell Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
HVAC Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
Electrolyser Technician,,Hydrogen End-Use Application,Hydrogen Power Generation
Refueling Techician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
Utility Service Technician,"Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
Instrumentation Technician,"Selection, calibration, and maintenance of key instrumentation equipment and systems associated with power generation using hydrogen blending; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
Mechatronics Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
