Occupation,Hydrogen Capabilities,Value Chain,Technology
Chemical Engineer,"Understanding hydrogen compression processes; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fuelling Station
Civil Engineer,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fuelling Station
Commissioning Engineer,"Understanding hydrogen compression processes; Appropriate selection and maintenance of pressure vessels, piping systems and fitting, valves and seals, coatings, and insulation associated with hydrogen fuelling systems; Process engineering and control skills specific to hydrogen including hazard risk analysis and reviews, mechanical integrity and instrumented system analysis, and operation readiness inspection ; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fuelling Station
Electrical Engineer,"Knowledge of electrical equipment and instrumentation systems required for hydrogen fuelling systems; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fuelling Station
Instrumentation Engineer,"Knowledge of electrical equipment and instrumentation systems required for hydrogen fuelling systems; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fuelling Station
Environmental Engineer,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Robotics and Automation Engineer,"Understanding hydrogen compression processes; Design and selection of compression systems for hydrogen pressure and temperatures associated with hydrogen fuelling systems; Design and selection of pressure vessels, piping systems and fitting, valves and seals, coatings, and insulation to withstand hydrogen pressure and temperatures associated with hydrogen fuelling systems; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Facility Engineer,"Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Gas Engineer,"Design and selection of compression systems for hydrogen pressure and temperatures associated with hydrogen fuelling systems; Design and selection of pressure vessels, piping systems and fitting, valves and seals, coatings, and insulation to withstand hydrogen pressure and temperatures associated with hydrogen fuelling systems; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Grid Connection Engineer,"Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Industrial Engineer,"Understanding hydrogen compression processes; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Mechatronics Engineer,"Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Mechanical Engineer,"Understanding hydrogen compression processes; Design and selection of compression systems for hydrogen pressure and temperatures associated with hydrogen fuelling systems; Design and selection of pressure vessels, piping systems and fitting, valves and seals, coatings, and insulation to withstand hydrogen pressure and temperatures associated with hydrogen fuelling systems; Appropriate selection and maintenance of pressure vessels, piping systems and fitting, valves and seals, coatings, and insulation associated with hydrogen fuelling systems; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Process Engineer,"Understanding hydrogen compression processes; Understanding cryogenic and gaseous hydrogen storage and delivery systems; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Process Control Engineer,"Understanding hydrogen compression processes; Understanding cryogenic and gaseous hydrogen storage and delivery systems; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Safety Engineer,"Process engineering and control skills specific to hydrogen including hazard risk analysis and reviews, mechanical integrity and instrumented system analysis, and operation readiness inspection ; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Production Engineer,"Understanding hydrogen compression processes; Experience and knowledge of hydrogen fuelling equipment, technology, and systems including on-site generation, compression, cooling systems, storage, and dispensing; Knowledge of fuelling standards for third-party certification of hydrogen product lines; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fuelling Station
Cavern Engineer,"Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fuelling Station
Drilling Engineer,"Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fuelling Station
Pipeline Engineer,"Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fuelling Station
Research and Development Engineer,"Understanding hydrogen compression processes; Design and selection of compression systems for hydrogen pressure and temperatures associated with hydrogen fuelling systems; Design and selection of pressure vessels, piping systems and fitting, valves and seals, coatings, and insulation to withstand hydrogen pressure and temperatures associated with hydrogen fuelling systems; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Software Engineer,"Design and selection of compression systems for hydrogen pressure and temperatures associated with hydrogen fuelling systems; Design and selection of pressure vessels, piping systems and fitting, valves and seals, coatings, and insulation to withstand hydrogen pressure and temperatures associated with hydrogen fuelling systems; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fuelling Station
Locomotive Engineer,"Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Welding Engineer,"Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
