Occupation,Hydrogen Capabilities,Value Chain,Technology
Commissioning Technician,"Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with an electrolyser hydrogen production plant; Appropriate selection and maintenance of key instrumentation equipment and systems associated with an electrolyser hydrogen production plant; Knowledge of appropriate materials, seals, and coatings; Maintenance of vessels, compressors, piping systems and fitting, valves, and such to withstand hydrogen pressure and temperatures; Appropriate selection and maintenance of electrical equipment and instrumentation systems required for hydrogen; Maintenance of mechanical equipment to withstand hydrogen pressure and temperatures; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen Production ,<not_included>
Chemical Process Technician,"Understanding electrochemical reactions, processes, and hydrogen production processes; Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with an electrolyser hydrogen production plant; Appropriate selection and maintenance of key instrumentation equipment and systems associated with an electrolyser hydrogen production plant; Knowledge of appropriate materials, seals, and coatings; Understanding the properties and characteristics of hydrogen in a liquid and gaseous state ; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Production ,<not_included>
Chemical Laboratory Technician,"Understanding electrochemical reactions, processes, and hydrogen production processes; Understanding the properties and characteristics of hydrogen in a liquid and gaseous state ; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Production ,<not_included>
Mechanical Technician,"Appropriate selection and maintenance of key instrumentation equipment and systems associated with an electrolyser hydrogen production plant; Knowledge of appropriate materials, seals, and coatings; Maintenance of mechanical equipment to withstand hydrogen pressure and temperatures; Knowledge of appropriate materials, seals, and coatings.1; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Production ,<not_included>
Maintenance Technician,"Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with an electrolyser hydrogen production plant; Appropriate selection and maintenance of key instrumentation equipment and systems associated with an electrolyser hydrogen production plant; Knowledge of appropriate materials, seals, and coatings; Appropriate selection and maintenance of electrical equipment and instrumentation systems required for hydrogen; Maintenance of mechanical equipment to withstand hydrogen pressure and temperatures; Knowledge of appropriate materials, seals, and coatings.1; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen Production ,<not_included>
Test Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen Production ,<not_included>
Cylinder Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Production ,<not_included>
Fuel Cell Electric Vehicle (FCEV) Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Production ,<not_included>
Fuel Cell Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Production ,<not_included>
HVAC Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Production ,<not_included>
Electrolyser Technician,Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with an electrolyser hydrogen production plant; Appropriate selection and maintenance of key instrumentation equipment and systems associated with an electrolyser hydrogen production plant; Understanding the properties and characteristics of hydrogen in a liquid and gaseous state ,Hydrogen Production ,<not_included>
