Occupation,Hydrogen Capabilities,Value Chain,Technology
Plant manager,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen",Hydrogen Distribution and Transportation ,
Drilling and completions supervisor,"Understanding properties and characteristics of hydrogen in a gaseous state; Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen",Hydrogen Distribution and Transportation ,
Pipeline scheduler,"Knowledge of hydrogen value chains; Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen",Hydrogen Distribution and Transportation ,
Asset performance manager,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Distribution and Transportation ,
Utility services planner,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Distribution and Transportation ,
Maintenance planner,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Distribution and Transportation ,
Power scheduler,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen",Hydrogen Distribution and Transportation ,
Project manager,"Knowledge of hydrogen value chains; Knowledge of hydrogen fuel cell technology, how it works, and value proposition relating to emissions targets and cost-effectiveness; Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets; Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen",Hydrogen Distribution and Transportation ,
Business and technology manager development manager,"Knowledge of hydrogen value chains; Knowledge of hydrogen fuel cell technology, how it works, and value proposition relating to emissions targets and cost-effectiveness; Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets; Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Distribution and Transportation ,
Supply chain manager,"Knowledge of hydrogen value chains; Knowledge of hydrogen fuel cell technology, how it works, and value proposition relating to emissions targets and cost-effectiveness; Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets; Safety when working with or around hydrogen",Hydrogen Distribution and Transportation ,
Sales and marketing manager,"Knowledge of hydrogen value chains; Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Distribution and Transportation ,
Administrative manager,"Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Distribution and Transportation ,
Investment manager,"Knowledge of hydrogen fuel cell technology, how it works, and value proposition relating to emissions targets and cost-effectiveness; Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Distribution and Transportation ,
Communications manager,"Knowledge of hydrogen value chains; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Distribution and Transportation ,
Commissioning Technician,"Knowledge of appropriate maintenance of hydrogen fuelling systems including pressure vessels, vaporizers, flow, level and pressure control instrumentation, dispensers, pumps, programmable logic controllers (PLC), compressors, human–machine interface, and control software ; Appropriate selection and maintenance of pressure vessels, compression systems and related instrumentation, and controls equipment and systems associated with hydrogen fuelling system; Troubleshooting and routine maintenance of hydrogen fuel compression and dispensing equipment; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Fueling Station
Chemical Process Technician,"Appropriate selection and maintenance of pressure vessels, compression systems and related instrumentation, and controls equipment and systems associated with hydrogen fuelling system; Troubleshooting and routine maintenance of hydrogen fuel compression and dispensing equipment; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fueling Station
Chemical Laboratory Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fueling Station
Mechanical Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fueling Station
