core_occupation,Advanced Utilization Techniques,Advantages and Disadvantages,Ensuring Process Compliance and Optimization,Environmental and Efficiency Considerations,Environmental and Regulatory Compliance,Functional Testing of Equipment,Gaining Acceptance for New Hydrogen Sites,Hazardous Area Requirements,Impact of Gas Interchangeability on Systems,Integration of High-Voltage Systems with Hydrogen Production,Maintenance and Monitoring,Material Selection for Risk Reduction,New Market Opportunities,Property Risks of Hydrogen,Reducing Carrying Costs and Idle Time,Related Systems for Hydrogen Stabilization,Safety and Operational Planning,Standards and Protocols for Testing,Storage of Compressed Hydrogen,Storage of Hydrogen Carriers,Storage of Liquid Hydrogen,System Enhancements,System Modifications and Upgrades,Taxonomy nan,Troubleshooting and Optimization,Undertaking Fuel Cell Replacement,Category
Applications engineer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Engineer
Test validation engineer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Engineer
Product engineer,4,2,18,2,0,7,8,2,0,0,11,2,1,7,0,2,8,11,15,0,12,0,0,1,4,0,Engineer
Design engineer - Electrical & instrumentation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Engineer
Design engineer- Mechanical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Engineer
Drilling & completion engineer,0,1,0,0,1,0,0,0,0,0,0,10,6,29,0,0,26,6,0,0,9,0,0,1,3,0,Engineer
Electrical & instrumentation engineer,0,9,23,36,22,83,0,1,0,25,8,23,0,38,0,8,31,2,24,0,15,15,0,6,27,0,Engineer
Data engineer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Engineer
Electrical engineer,0,2,2,0,0,5,0,0,0,27,8,4,0,10,0,0,0,0,0,0,0,1,0,2,18,0,Engineer
Facility engineer,5,24,59,71,11,74,6,0,1,2,33,22,3,35,0,1,23,16,17,0,5,4,0,5,34,0,Engineer
Hydraulics engineer,0,0,0,0,1,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,8,0,0,0,0,0,Engineer
Reservoir engineer,6,2,0,2,32,0,0,10,1,0,0,29,5,17,0,6,8,28,0,3,23,1,0,0,3,0,Engineer
Quality engineer,4,1,21,2,0,21,8,1,0,0,11,5,0,7,0,2,10,8,16,0,11,0,0,1,4,0,Engineer
Process engineer,3,6,31,61,6,23,10,7,2,1,2,25,4,43,0,22,30,17,11,0,29,5,0,4,20,0,Engineer
Production engineer,0,8,21,54,2,0,0,0,2,0,0,9,0,20,0,0,0,0,0,0,2,0,0,3,0,0,Engineer
Process control engineer,4,23,52,60,10,30,10,7,1,5,27,27,4,35,0,23,35,17,10,0,25,44,0,5,31,0,Engineer
Pipeline engineer,0,0,0,1,7,0,0,0,0,0,0,20,0,48,0,0,70,22,4,0,7,0,0,1,0,0,Engineer
Process safety engineer,6,12,130,6,18,168,48,62,0,0,12,104,26,30,0,36,140,108,30,2,90,48,0,0,126,0,Engineer
Welding engineer,0,2,13,1,0,12,8,7,0,0,2,15,4,16,0,6,20,22,6,0,14,4,0,1,9,0,Engineer
Mechanical engineer - Compression,0,3,2,2,0,0,0,0,0,0,0,3,0,5,0,0,2,0,46,0,0,0,0,1,0,0,Engineer
Mechatronics engineer - Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Engineer
Mechanical engineer - Reliability,6,8,45,48,12,80,14,22,0,2,90,44,5,35,0,14,337,17,71,0,26,26,0,5,37,0,Engineer
Cavern engineer,0,0,0,1,0,1,0,7,0,0,0,8,3,22,0,4,4,7,2,1,18,0,0,1,0,0,Engineer
Mechanical engineer - Equipment & piping,7,9,43,40,13,62,14,23,0,3,103,47,7,36,1,14,336,27,98,2,22,14,0,5,60,0,Engineer
Locomotive engineer,2,6,2,0,3,1,0,0,0,0,0,2,4,5,6,0,0,0,0,0,0,0,3,1,6,14,Engineer
"Manufacturing engineer (also known as: Manufacturing design engineer, Manufacturing process engineer, Tooling engineer)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Engineer
Chemical/Process engineer,0,9,10,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,1,0,0,Engineer
In-service pressure equipment inspector,0,2,8,1,0,30,8,6,0,0,2,19,4,25,0,6,30,32,9,0,16,4,0,1,14,0,Inspector
Tank tester/inspector,0,0,0,0,0,32,0,0,0,0,9,3,0,5,0,0,11,1,30,0,0,0,0,1,0,0,Inspector
Welding inspector,1,5,33,1,0,16,8,8,0,0,2,20,4,31,0,6,28,40,10,0,15,8,0,1,11,0,Inspector
Utility inspector,2,8,40,3,0,45,8,8,0,0,3,21,4,26,0,7,34,45,26,0,21,8,0,1,19,0,Inspector
Construction inspector,0,2,5,1,0,24,9,6,0,0,2,14,4,10,0,6,18,22,5,0,14,4,0,1,16,0,Inspector
Coating inspector,0,0,0,0,0,0,0,0,0,0,1,7,0,8,0,0,2,5,0,0,1,0,0,1,0,0,Inspector
Safety codes inspector (also known as: Safety codes officer),0,0,3,0,0,9,9,13,0,0,3,10,4,10,0,0,13,7,5,0,7,13,0,1,3,0,Inspector
Asset performance manager,0,6,8,19,0,12,8,6,0,0,8,16,4,22,0,6,37,25,11,0,15,4,0,1,17,0,Manager
Plant manager,3,12,36,72,6,74,2,1,2,1,15,13,0,25,0,0,6,3,1,0,2,1,0,4,18,0,Manager
Fleet manager,1,5,3,0,0,25,1,0,0,0,7,2,1,9,8,7,9,0,3,0,7,5,57,1,1,0,Manager
Dual fuel heavy duty mechanic,0,1,0,0,0,8,0,3,0,0,4,4,0,5,0,0,40,0,2,0,2,2,0,1,7,0,Mechanic
Locomotive mechanic (shop and field),0,13,1,0,3,15,0,3,0,6,4,3,0,5,0,0,45,2,0,0,1,2,1,1,18,0,Mechanic
Maintenance trade - Electromechanical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Mechanic
Heavy duty mechanic,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,3,0,0,Mechanic
Maintenance trade - Mechanical,2,1,9,4,8,114,0,13,0,0,68,32,1,68,3,15,104,52,31,0,22,9,0,6,5,0,Mechanic
Plant operator,3,18,30,52,6,2,8,1,1,3,0,13,3,25,0,0,5,0,0,0,2,0,0,4,14,0,Operator
Station operator - Compression,0,0,0,1,0,6,0,0,0,1,10,3,0,5,0,0,4,0,50,0,0,0,0,1,0,0,Operator
Well completions operators,1,0,4,6,0,0,0,3,0,0,0,19,2,20,0,0,9,12,1,0,1,0,0,1,10,0,Operator
Well completions operator,1,0,0,2,2,0,0,3,8,0,0,11,2,4,0,0,0,1,0,0,8,0,0,0,3,0,Operator
