Skill_ID,Original Skill Statement,Breakdown Sequence Number,New Sub-Skill Statement,Assigned Taxonomy Location,Additional Notes/Comments,Highest Level Taxonony Cluster
1,"Experience and knowledge of hydrogen fueling equipment, technology and systems including on-site generation, compression, cooling systems, storage, and dispensing",1,Experience with hydrogen fueling equipment and systems,2. Maintenance and Monitoring of Hydrogen Equipment,Applicable to overall system maintenance,2
1,"Experience and knowledge of hydrogen fueling equipment, technology and systems including on-site generation, compression, cooling systems, storage, and dispensing",2,Experience with on-site hydrogen generation,16. Hydrogen Production Processes,On-site generation of hydrogen for fueling,16
1,"Experience and knowledge of hydrogen fueling equipment, technology and systems including on-site generation, compression, cooling systems, storage, and dispensing",3,Experience with hydrogen compression,13. Hydrogen Compression and Storage,Compression as part of the fueling process,13
1,"Experience and knowledge of hydrogen fueling equipment, technology and systems including on-site generation, compression, cooling systems, storage, and dispensing",4,Experience with hydrogen cooling systems,10. Cooling Systems in Hydrogen Production Plants,Cooling involved in storage and dispensing,10
1,"Experience and knowledge of hydrogen fueling equipment, technology and systems including on-site generation, compression, cooling systems, storage, and dispensing",5,Experience with hydrogen storage,13. Hydrogen Compression and Storage,Storage solutions for fueling stations,13
1,"Experience and knowledge of hydrogen fueling equipment, technology and systems including on-site generation, compression, cooling systems, storage, and dispensing",6,Experience with hydrogen dispensing,3. Hydrogen Storage and Transportation,Dispensing hydrogen at fueling stations,3
2,"Knowledge of hydrogen technologies and value proposition and benefits re: socio-economic, environment, climate change, etc.",1,Knowledge of hydrogen technologies,16. Hydrogen Production Processes,Broad understanding of hydrogen technologies,16
2,"Knowledge of hydrogen technologies and value proposition and benefits re: socio-economic, environment, climate change, etc.",2,Understanding the socio-economic benefits of hydrogen,26. Communication of Hydrogen's Role in Australia's Energy Mix,Tied to communicating socio-economic impacts,26
2,"Knowledge of hydrogen technologies and value proposition and benefits re: socio-economic, environment, climate change, etc.",3,Understanding the environmental benefits of hydrogen,26.2.1 Environmental Benefits,Specifically related to environmental benefits,26
2,"Knowledge of hydrogen technologies and value proposition and benefits re: socio-economic, environment, climate change, etc.",4,Understanding hydrogen's role in addressing climate change,26.2.1.2 Contribution to Renewable Energy Goals,Focused on climate change and renewable energy,26
3,Knowledge of key instrumentation and electrical equipment and systems associated with hydrogen pipeline transmission including compression,1,Knowledge of key instrumentation for hydrogen pipelines,19. Programming and Monitoring Control Systems in Hydrogen Processes,Instrumentation related to pipeline control systems,19
3,Knowledge of key instrumentation and electrical equipment and systems associated with hydrogen pipeline transmission including compression,2,Knowledge of electrical equipment for hydrogen pipelines,21. High-Voltage Power Electronics in Hydrogen Production,Electrical systems associated with pipeline transmission,21
3,Knowledge of key instrumentation and electrical equipment and systems associated with hydrogen pipeline transmission including compression,3,Knowledge of systems associated with hydrogen pipeline transmission,6.3 Pipeline Design and Construction,Overall pipeline transmission systems,6
3,Knowledge of compression systems in hydrogen pipelines,4,Knowledge of compression systems in hydrogen pipelines,13. Hydrogen Compression and Storage,Specifically related to pipeline compression,13
4,"Materials, coatings and inhibitors to use and correct application to protect from hydrogen corrosion",1,Knowledge of materials to protect from hydrogen corrosion,18. Hydrogen Interaction with Materials,Focused on selecting appropriate materials,18
4,"Materials, coatings and inhibitors to use and correct application to protect from hydrogen corrosion",2,Knowledge of coatings for hydrogen corrosion protection,18.3.1.2 Surface Treatments and Coatings,Specifically related to protective coatings,18
4,"Materials, coatings and inhibitors to use and correct application to protect from hydrogen corrosion",3,Knowledge of inhibitors for hydrogen corrosion protection,18.3 Mitigation Strategies for Hydrogen Embrittlement,Involves use of chemical inhibitors,18
4,"Materials, coatings and inhibitors to use and correct application to protect from hydrogen corrosion",4,Correct application techniques for corrosion protection,18.4 Standards and Protocols for Testing,Ensuring proper application and adherence to standards,18
5,"Knowledge and selection of type of materials, coatings and inhibitors to use to protect from hydrogen corrosion and embrittlement",1,Knowledge of materials to protect from hydrogen corrosion,18. Hydrogen Interaction with Materials,Focused on material selection for corrosion prevention,18
5,"Knowledge and selection of type of materials, coatings and inhibitors to use to protect from hydrogen corrosion and embrittlement",2,Knowledge of coatings to protect from hydrogen corrosion and embrittlement,18.3.1.2 Surface Treatments and Coatings,Specifically related to coatings for protection,18
