Unnamed: 0,occupation_id,core_occupation,value_chain,technology,Category
145,146,Logistics coordinator,End Use,Fueling Station,Coordinator
108,109,Logistics coordinator,Transport,Truck,Coordinator
156,157,Welding engineer,End Use,Power Generation,Engineer
50,51,Electrical & instrumentation engineer,Production,CCS,Engineer
165,166,Process engineer,End Use,Power Generation,Engineer
114,115,Mechanical engineer - Equipment & piping,Upgrading,Ammonia,Engineer
199,200,Data engineer,Cross Value Chain,Various,Engineer
115,116,Mechanical engineer - Reliability,Upgrading,Ammonia,Engineer
45,46,Production engineer,Production,CCS,Engineer
44,45,Process safety engineer,Production,CCS,Engineer
42,43,Process engineer,Production,CCS,Engineer
41,42,Process control engineer,Production,CCS,Engineer
40,41,Mechanical engineer - Reliability,Production,CCS,Engineer
39,40,Mechanical engineer - Equipment & piping,Production,CCS,Engineer
117,118,Process engineer,Upgrading,Ammonia,Engineer
37,38,Facility engineer,Production,CCS,Engineer
116,117,Process control engineer,Upgrading,Ammonia,Engineer
112,113,Facility engineer,Upgrading,Ammonia,Engineer
166,167,Process safety engineer,End Use,Power Generation,Engineer
196,197,Mechatronics engineer - Facility,Manufacturing,Manufacturing,Engineer
100,101,Process safety engineer,Transport,Pipeline,Engineer
98,99,Pipeline engineer,Transport,Pipeline,Engineer
59,60,Pipeline engineer,Production,CCS,Engineer
96,97,Electrical & instrumentation engineer,Transport,Pipeline,Engineer
61,62,Process safety engineer,Production,CCS,Engineer
174,175,Applications engineer,Manufacturing,Manufacturing,Engineer
189,190,Test validation engineer,Manufacturing,Manufacturing,Engineer
178,179,Design engineer - Electrical & instrumentation,Manufacturing,Manufacturing,Engineer
179,180,Design engineer- Mechanical,Manufacturing,Manufacturing,Engineer
181,182,"Manufacturing engineer (also known as: Manufacturing design engineer, Manufacturing process engineer, Tooling engineer)",Manufacturing,Manufacturing,Engineer
67,68,Drilling & completion engineer,Production,CCS,Engineer
68,69,Reservoir engineer,Production,CCS,Engineer
82,83,Cavern engineer,Storage,Underground,Engineer
118,119,Process safety engineer,Upgrading,Ammonia,Engineer
79,80,"Technologist Diploma: Chemical, Petroleum Engineering",Production,CCS,Engineer
119,120,Production engineer,Upgrading,Ammonia,Engineer
163,164,Mechanical engineer - Reliability,End Use,Power Generation,Engineer
1,2,Chemical/Process engineer,Production,PEM,Engineer
2,3,Electrical engineer,Production,PEM,Engineer
3,4,Electrical & instrumentation engineer,Production,PEM,Engineer
4,5,Facility engineer,Production,PEM,Engineer
158,159,Electrical engineer,End Use,Power Generation,Engineer
7,8,Mechanical engineer - Equipment & piping,Production,PEM,Engineer
8,9,Mechanical engineer - Reliability,Production,PEM,Engineer
9,10,Process control engineer,Production,PEM,Engineer
10,11,Process safety engineer,Production,PEM,Engineer
11,12,Production engineer,Production,PEM,Engineer
159,160,Electrical & instrumentation engineer,End Use,Power Generation,Engineer
160,161,Facility engineer,End Use,Power Generation,Engineer
143,144,Quality engineer,End Use,Fueling Station,Engineer
142,143,Product engineer,End Use,Fueling Station,Engineer
164,165,Process control engineer,End Use,Power Generation,Engineer
76,77,Reservoir engineer,Production,CCS,Engineer
18,19,Hydraulics engineer,Production,CCS,Engineer
162,163,Mechanical engineer - Equipment & piping,End Use,Power Generation,Engineer
131,132,Locomotive engineer,End Use,Transport,Engineer
136,137,Mechanical engineer - Compression,End Use,Fueling Station,Engineer
29,30,Production engineer,Production,SMR / ATR,Engineer
28,29,Process safety engineer,Production,SMR / ATR,Engineer
27,28,Process engineer,Production,SMR / ATR,Engineer
141,142,Process safety engineer,End Use,Fueling Station,Engineer
26,27,Process control engineer,Production,SMR / ATR,Engineer
137,138,Mechanical engineer - Equipment & piping,End Use,Fueling Station,Engineer
23,24,Mechanical engineer - Equipment & piping,Production,SMR / ATR,Engineer
138,139,Mechanical engineer - Reliability,End Use,Fueling Station,Engineer
21,22,Facility engineer,Production,SMR / ATR,Engineer
139,140,Process control engineer,End Use,Fueling Station,Engineer
140,141,Process engineer,End Use,Fueling Station,Engineer
25,26,Mechanical engineer - Reliability,Production,SMR / ATR,Engineer
152,153,Utility inspector,End Use,Power Generation,Inspector
213,214,Safety codes inspector (also known as: Safety codes officer),Cross Value Chain,Various,Inspector
109,110,Tank tester/inspector,Transport,Truck,Inspector
214,215,Welding inspector,Cross Value Chain,Various,Inspector
212,213,Construction inspector,Cross Value Chain,Various,Inspector
211,212,Coating inspector,Cross Value Chain,Various,Inspector
129,130,Fleet manager,End Use,Transport,Manager
53,54,Plant manager,Production,CCS,Manager
149,150,Asset performance manager,End Use,Heating,Manager
125,126,Plant manager,Upgrading,Ammonia,Manager
171,172,Maintenance trade - Mechanical,End Use,Power Generation,Mechanic
195,196,Maintenance trade - Mechanical,Manufacturing,Manufacturing,Mechanic
132,133,Locomotive mechanic (shop and field),End Use,Transport,Mechanic
84,85,Heavy duty mechanic,Storage,Underground,Mechanic
52,53,Maintenance trade - Mechanical,Production,CCS,Mechanic
91,92,Maintenance trade - Mechanical,Storage,Underground,Mechanic
124,125,Maintenance trade - Mechanical,Upgrading,Ammonia,Mechanic
71,72,Heavy duty mechanic,Production,CCS,Mechanic
