,occupation_id,core_occupation,value_chain,technology
0,1,Automation & controls specialist,Production,PEM
1,2,Chemical/Process engineer,Production,PEM
2,3,Electrical engineer,Production,PEM
3,4,Electrical & instrumentation engineer,Production,PEM
4,5,Facility engineer,Production,PEM
5,6,Measurement specialist,Production,PEM
6,7,Renewable power interconnection specialist,Production,PEM
7,8,Mechanical engineer - Equipment & piping,Production,PEM
8,9,Mechanical engineer - Reliability,Production,PEM
9,10,Process control engineer,Production,PEM
10,11,Process safety engineer,Production,PEM
11,12,Production engineer,Production,PEM
12,13,Control room operator,Production,PEM
13,14,Lab technician,Production,PEM
14,15,Maintenance planner,Production,PEM
15,16,Maintenance trade - Electrical,Production,PEM
16,17,Maintenance trade - Instrumentation & control,Production,PEM
17,18,Maintenance trade - Mechanical,Production,PEM
18,19,Hydraulics engineer,Production,CCS
19,20,Plant operator,Production,PEM
20,21,Automation & controls specialist,Production,SMR / ATR
21,22,Facility engineer,Production,SMR / ATR
22,23,Measurement specialist,Production,SMR / ATR
23,24,Mechanical engineer - Equipment & piping,Production,SMR / ATR
24,25,Control room operator,Production,SMR / ATR
25,26,Mechanical engineer - Reliability,Production,SMR / ATR
26,27,Process control engineer,Production,SMR / ATR
27,28,Process engineer,Production,SMR / ATR
28,29,Process safety engineer,Production,SMR / ATR
29,30,Production engineer,Production,SMR / ATR
30,31,Lab technician,Production,SMR / ATR
31,32,Maintenance planner,Production,SMR / ATR
32,33,Maintenance trade - Electrical,Production,SMR / ATR
33,34,Maintenance trade - Instrumentation & controls,Production,SMR / ATR
34,35,Maintenance trade - Mechanical,Production,SMR / ATR
35,36,Plant operator,Production,SMR / ATR
36,37,Automation & controls specialist,Production,CCS
37,38,Facility engineer,Production,CCS
38,39,Measurement specialist,Production,CCS
39,40,Mechanical engineer - Equipment & piping,Production,CCS
40,41,Mechanical engineer - Reliability,Production,CCS
41,42,Process control engineer,Production,CCS
42,43,Process engineer,Production,CCS
43,44,Drilling crew,Storage,Underground
44,45,Process safety engineer,Production,CCS
45,46,Production engineer,Production,CCS
46,47,Control room operator,Production,CCS
47,48,Lab technician,Production,CCS
48,49,Maintenance planner,Production,CCS
49,50,Maintenance trade - Electrical,Production,CCS
50,51,Electrical & instrumentation engineer,Production,CCS
51,52,Maintenance trade - Instrumentation & controls,Production,CCS
52,53,Maintenance trade - Mechanical,Production,CCS
53,54,Plant manager,Production,CCS
54,55,Plant operator,Production,CCS
55,56,Automation & controls specialist,Production,CCS
56,57,Compression specialist,Production,CCS
57,58,Corrosion specialist,Production,CCS
58,59,Measurement specialist,Production,CCS
59,60,Pipeline engineer,Production,CCS
60,61,Pipeline integrity specialist,Production,CCS
61,62,Process safety engineer,Production,CCS
62,63,Control centre operator,Production,CCS
63,64,Pipeline technician - Electrical & Instrumentation,Production,CCS
64,65,Pipeline technician - Mechanical,Production,CCS
65,66,Station operator- Compression,Production,CCS
66,67,Station operator - Pump,Production,CCS
67,68,Drilling & completion engineer,Production,CCS
68,69,Reservoir engineer,Production,CCS
69,70,Geologist Geophysicist,Production,CCS
70,71,Drilling crew,Production,CCS
71,72,Heavy duty mechanic,Production,CCS
72,73,Reservoir technologist,Production,CCS
73,74,Service rig crew,Production,CCS
74,75,Well completions operator,Production,CCS
75,76,Well completions supervisor,Production,CCS
76,77,Reservoir engineer,Production,CCS
77,78,Geologist Geophysicist,Production,CCS
78,79,Instrumentation technician,Production,CCS
79,80,"Technologist Diploma: Chemical, Petroleum Engineering",Production,CCS
80,81,Sampling and analysis technician,Production,CCS
81,82,Seismic crew,Production,CCS
82,83,Cavern engineer,Storage,Underground
83,84,Geologist Geophysicist Geotechnical specialist,Storage,Underground
84,85,Heavy duty mechanic,Storage,Underground
85,86,Reservoir technologist,Storage,Underground
86,87,Service rig crew,Storage,Underground
87,88,Well completions operators,Storage,Underground
88,89,Well completions supervisor,Storage,Underground
89,90,Control centre operator,Storage,Underground
90,91,Maintenance trade - Electrical & Instrumentation,Storage,Underground
91,92,Maintenance trade - Mechanical,Storage,Underground
92,93,Measurement specialist,Storage,Underground
93,94,Automation & controls specialist,Transport,Pipeline
94,95,Compression specialist,Transport,Pipeline
95,96,Corrosion specialist,Transport,Pipeline
96,97,Electrical & instrumentation engineer,Transport,Pipeline
97,98,Measurement specialist,Transport,Pipeline
98,99,Pipeline engineer,Transport,Pipeline
99,100,Pipeline integrity specialist,Transport,Pipeline
100,101,Process safety engineer,Transport,Pipeline
101,102,Control centre operator,Transport,Pipeline
102,103,Pipeline scheduler,Transport,Pipeline
103,104,Maintenance trade - Electrical,Upgrading,Ammonia
104,105,Pipeline technician- Electrical & instrumentation,Transport,Pipeline
105,106,Pipeline technician - Mechanical,Transport,Pipeline
106,107,Station operator - Compression,Transport,Pipeline
107,108,Cylinder technician,Transport,Truck
108,109,Logistics coordinator,Transport,Truck
109,110,Tank tester/inspector,Transport,Truck
110,111,Truck driver - Hydrogen delivery,Transport,Truck
111,112,Automation & controls specialist,Upgrading,Ammonia
112,113,Facility engineer,Upgrading,Ammonia
113,114,Measurement specialist,Upgrading,Ammonia
114,115,Mechanical engineer - Equipment & piping,Upgrading,Ammonia
115,116,Mechanical engineer - Reliability,Upgrading,Ammonia
116,117,Process control engineer,Upgrading,Ammonia
117,118,Process engineer,Upgrading,Ammonia
118,119,Process safety engineer,Upgrading,Ammonia
