requirement_id,requirement,occupation_id,core_occupation,value_chain,technology,qualifications
3,"Experience and knowledge of hydrogen fueling equipment, technology and systems including on-site generation, compression, cooling systems, storage and dispensing",155,Quality engineer,End Use,Fueling Station,"Multiple pathways to this career: •Bachelor's degree in Mechanical or Industrial Engineering •Engineer technology diploma in Mechanical, Industrial or Chemical + experience QA/QC Certifications"
3,"Experience and knowledge of hydrogen fueling equipment, technology and systems including on-site generation, compression, cooling systems, storage and dispensing",154,Product engineer,End Use,Fueling Station,"Bachelor's degree in Chemical, Electrical, or Mechanical Engineering"
4,"Knowledge of hydrogen technologies and value proposition and benefits re: socio-economic, environment, climate change, etc.",229,Stakeholder engagement and communications specialist,Cross Value Chain,Various,"Bachelor's degree: Business, Communication, Environmental Management, Policy, Political Science, Social Sciences"
4,"Knowledge of hydrogen technologies and value proposition and benefits re: socio-economic, environment, climate change, etc.",230,Sustainability specialist,Cross Value Chain,Various,"Bachelor's Degree in Engineering Environmental science, Law Familiarity with: • Internationally recognized sustainability reporting standards and frameworks • Climate regulatory policy experience across Canada Understanding of carbon lifecycle analysis models/tools (carbon intensity). • Knowledge of relevant federal, provincial and local government climate activities in Canada"
6,Knowledge of key instrumentation and electrical equipment and systems associated with hydrogen pipeline transmission including compression,72,Electrical & instrumentation engineer,Transport,Pipeline,Bachelor's Degree: Electrical & Instrumentation Engineering
19,"Knowledge and selection of type of materials, coatings and inhibitors to use to protect from hydrogen corrosion and embrittlement",108,Pipeline integrity specialist,Transport,Pipeline,"Bachelor's Degree: Chemical, Materials, Metallurgical or Mechanical Engineering National Association of Corrosion Engineers (NACE) certification"
19,"Knowledge and selection of type of materials, coatings and inhibitors to use to protect from hydrogen corrosion and embrittlement",107,Pipeline engineer,Transport,Pipeline,"Bachelor's Degree: Chemical, Civil or Mechanical Engineering"
21,Design and selection of compression systems for hydrogen pressure and temperatures associated with hydrogen fueling system,149,Mechanical engineer - Compression,End Use,Fueling Station,Bachelor's degree in Mechanical Engineering
22,"Keep up-to-date with changes to hydrogen technology, regulations, standards and codes and assess impact to safety requirements",236,Safety codes inspector (also known as: Safety codes officer),Cross Value Chain,Various,"Combination of education, technical experience and certification • Provincially regulated occupation Multiple pathways to this career: • Bachelor's Degree in Engineering • Engineering Technologist Diploma • Certificate of Qualification: Trades • Certificate of Qualification: Power Engineer or Stationary Engineer Subject to certification requirements established through provincial regulatory agency Valid driver's license + clean abstract"
23,Appropriate selection and maintenance of stationary and rotating equipment and systems required for pipeline transmission of gaseous hydrogen,114,Pipeline technician - Mechanical,Transport,Pipeline,Multiple pathways to this career: • Certificate of Qualification: Industrial Mechanic (Millwright) • Registered apprentice • Technologist diploma: Mechanical Engineering A valid driver's license + clean abstract
25,Hydrogen refueling,146,"Truck drivers – Class 1 & 3 Transport, freight, delivery/courier",End Use,Transport,• Class 1 or 3 Driver’s licence • Class AZ drivers license (ON) • Valid air brake endorsement • Clean abstract • Computer & smartphone skills
