Completed?,Skill_ID,requirement_id,requirement_clean
y,1,3,"Experience and knowledge of hydrogen fueling equipment, technology and systems including on-site generation, compression, cooling systems, storage and dispensing"
y,2,4,"Knowledge of hydrogen technologies and value proposition and benefits re: socio-economic, environment, climate change, etc."
y,3,6,Knowledge of key instrumentation and electrical equipment and systems associated with hydrogen pipeline transmission including compression
y,4,434,"Materials, coatings and inhibitors to use and correct application to protect from hydrogen corrosion"
y,5,19,"Knowledge and selection of type of materials, coatings and inhibitors to use to protect from hydrogen corrosion and embrittlement"
y,6,21,Design and selection of compression systems for hydrogen pressure and temperatures associated with hydrogen fueling system
y,7,23,Appropriate selection and maintenance of stationary and rotating equipment and systems required for pipeline transmission of gaseous hydrogen
y,8,25,Hydrogen refueling
y,9,26,Understanding of properties and characteristics of hydrogen in a gaseous state
y,10,30,"Understanding of hydrogen technologies, and economic and social advantages and disadvantages"
y,11,451,Understanding of combined-cycle power generation using hydrogen blending
y,12,34,"Knowledge of appropriate materials, seals, coatings"
y,13,36,Maintenance of equipment and systems involved in combinedcycle power generation using hydrogen blending
y,14,39,"Appropriate selection and maintenance of pressure vessels, piping systems and fitting, valves and seals, coatings and insulation associated with hydrogen fueling system"
y,15,40,"Knowledge and selection of type of materials, coatings and inhibitors to use to protect from hydrogen corrosion"
y,16,42,Safety when working with or around hydrogen
y,17,43,Knowledge of electrolyzer hydrogen production plant control systems and advanced control systems for process optimisation
y,18,59,Knowledge of odorants used to assist with leak detection of hydrogen
y,19,50,Appropriate selection and maintenance of materials and equipment to withstand hydrogen pressure and temperatures
y,20,51,"Understanding of electrochemical reactions, processes and hydrogen production using PEM electrolyzers"
y,21,57,Understanding of properties and characteristics of hydrogen in a liquid and gaseous state
y,22,70,Understanding of combined- cycle power generation using hydrogen-blending
y,23,429,Advanced knowledge of safety when working with or around hydrogen
y,24,78,Understanding of hydrogen compression processes
y,25,372,"Appropriate selection of materials, coatings, odorants, inhibitors, etc. for hydrogen blending"
