occupation_id,core_occupation,value_chain,technology,,,,,,,,,,,,,,,,,,,,,,,
1,Automation & controls specialist,Production,PEM,,,,,,,,,,,,,,,,,,,,,,,
2,Chemical/Process engineer,Production,PEM,,,,,,,,,,,,,,,,,,,,,,,
3,Electrical engineer,Production,PEM,,,,,,,,,,,,,,,,,,,,,,,
4,Electrical & instrumentation engineer,Production,PEM,,,,,,,,,,,,,,,,,,,,,,,
5,Facility engineer,Production,PEM,,,,,,,,,,,,,,,,,,,,,,,
6,Measurement specialist,Production,PEM,,,,,,,,,,,,,,,,,,,,,,,
7,Renewable power interconnection specialist,Production,PEM,,,,,,,,,,,,,,,,,,,,,,,
8,Mechanical engineer - Equipment & piping,Production,PEM,,,,,,,,,,,,,,,,,,,,,,,
9,Mechanical engineer - Reliability,Production,PEM,,,,,,,,,,,,,,,,,,,,,,,
10,Process control engineer,Production,PEM,,,,,,,,,,,,,,,,,,,,,,,
11,Process safety engineer,Production,PEM,,,,,,,,,,,,,,,,,,,,,,,
12,Production engineer,Production,PEM,,,,,,,,,,,,,,,,,,,,,,,
13,Control room operator,Production,PEM,,,,,,,,,,,,,,,,,,,,,,,
14,Lab technician,Production,PEM,,,,,,,,,,,,,,,,,,,,,,,
15,Maintenance planner,Production,PEM,,,,,,,,,,,,,,,,,,,,,,,
16,Maintenance trade - Electrical,Production,PEM,,,,,,,,,,,,,,,,,,,,,,,
17,Maintenance trade - Instrumentation & control,Production,PEM,,,,,,,,,,,,,,,,,,,,,,,
18,Maintenance trade - Mechanical,Production,PEM,,,,,,,,,,,,,,,,,,,,,,,
19,Hydraulics engineer,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
20,Plant operator,Production,PEM,,,,,,,,,,,,,,,,,,,,,,,
21,Automation & controls specialist,Production,SMR / ATR,,,,,,,,,,,,,,,,,,,,,,,
22,Facility engineer,Production,SMR / ATR,,,,,,,,,,,,,,,,,,,,,,,
23,Measurement specialist,Production,SMR / ATR,,,,,,,,,,,,,,,,,,,,,,,
24,Mechanical engineer - Equipment & piping,Production,SMR / ATR,,,,,,,,,,,,,,,,,,,,,,,
25,Control room operator,Production,SMR / ATR,,,,,,,,,,,,,,,,,,,,,,,
26,Mechanical engineer - Reliability,Production,SMR / ATR,,,,,,,,,,,,,,,,,,,,,,,
27,Process control engineer,Production,SMR / ATR,,,,,,,,,,,,,,,,,,,,,,,
28,Process engineer,Production,SMR / ATR,,,,,,,,,,,,,,,,,,,,,,,
29,Process safety engineer,Production,SMR / ATR,,,,,,,,,,,,,,,,,,,,,,,
30,Production engineer,Production,SMR / ATR,,,,,,,,,,,,,,,,,,,,,,,
31,Lab technician,Production,SMR / ATR,,,,,,,,,,,,,,,,,,,,,,,
32,Maintenance planner,Production,SMR / ATR,,,,,,,,,,,,,,,,,,,,,,,
33,Maintenance trade - Electrical,Production,SMR / ATR,,,,,,,,,,,,,,,,,,,,,,,
34,Maintenance trade - Instrumentation & controls,Production,SMR / ATR,,,,,,,,,,,,,,,,,,,,,,,
35,Maintenance trade - Mechanical,Production,SMR / ATR,,,,,,,,,,,,,,,,,,,,,,,
36,Plant operator,Production,SMR / ATR,,,,,,,,,,,,,,,,,,,,,,,
37,Automation & controls specialist,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
38,Facility engineer,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
39,Measurement specialist,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
40,Mechanical engineer - Equipment & piping,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
41,Mechanical engineer - Reliability,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
42,Process control engineer,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
43,Process engineer,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
44,Drilling crew,Storage,Underground,,,,,,,,,,,,,,,,,,,,,,,
45,Process safety engineer,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
46,Production engineer,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
47,Control room operator,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
48,Lab technician,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
49,Maintenance planner,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
50,Maintenance trade - Electrical,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
51,Electrical & instrumentation engineer,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
52,Maintenance trade - Instrumentation & controls,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
53,Maintenance trade - Mechanical,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
54,Plant manager,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
55,Plant operator,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
56,Automation & controls specialist,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
57,Compression specialist,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
58,Corrosion specialist,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
59,Measurement specialist,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
60,Pipeline engineer,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
61,Pipeline integrity specialist,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
62,Process safety engineer,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
63,Control centre operator,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
64,Pipeline technician - Electrical & Instrumentation,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
65,Pipeline technician - Mechanical,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
66,Station operator- Compression,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
67,Station operator - Pump,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
68,Drilling & completion engineer,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
69,Reservoir engineer,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
70,Geologist Geophysicist,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
71,Drilling crew,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
72,Heavy duty mechanic,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
73,Reservoir technologist,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
74,Service rig crew,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
75,Well completions operator,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
76,Well completions supervisor,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
77,Reservoir engineer,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
78,Geologist Geophysicist,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
