Unnamed: 0,occupation_id,core_occupation,value_chain,technology,Category,Cluster
0,1,Automation & controls specialist,Production,PEM,specialist,2
1,2,Chemical/Process engineer,Production,PEM,engineer,0
2,3,Electrical engineer,Production,PEM,engineer,6
3,4,Electrical & instrumentation engineer,Production,PEM,engineer,6
4,5,Facility engineer,Production,PEM,engineer,0
5,6,Measurement specialist,Production,PEM,specialist,7
6,7,Renewable power interconnection specialist,Production,PEM,specialist,1
7,8,Mechanical engineer - Equipment & piping,Production,PEM,engineer,8
8,9,Mechanical engineer - Reliability,Production,PEM,engineer,3
9,10,Process control engineer,Production,PEM,engineer,0
10,11,Process safety engineer,Production,PEM,engineer,0
11,12,Production engineer,Production,PEM,engineer,0
12,13,Control room operator,Production,PEM,operator,4
13,14,Lab technician,Production,PEM,technician,1
14,15,Maintenance planner,Production,PEM,other,5
15,16,Maintenance trade - Electrical,Production,PEM,other,3
16,17,Maintenance trade - Instrumentation & control,Production,PEM,other,2
17,18,Maintenance trade - Mechanical,Production,PEM,mechanic,3
18,19,Hydraulics engineer,Production,CCS,engineer,8
19,20,Plant operator,Production,PEM,operator,4
20,21,Automation & controls specialist,Production,SMR / ATR,specialist,2
21,22,Facility engineer,Production,SMR / ATR,engineer,0
22,23,Measurement specialist,Production,SMR / ATR,specialist,7
23,24,Mechanical engineer - Equipment & piping,Production,SMR / ATR,engineer,8
24,25,Control room operator,Production,SMR / ATR,operator,4
25,26,Mechanical engineer - Reliability,Production,SMR / ATR,engineer,3
26,27,Process control engineer,Production,SMR / ATR,engineer,0
27,28,Process engineer,Production,SMR / ATR,engineer,0
28,29,Process safety engineer,Production,SMR / ATR,engineer,0
29,30,Production engineer,Production,SMR / ATR,engineer,0
30,31,Lab technician,Production,SMR / ATR,technician,1
31,32,Maintenance planner,Production,SMR / ATR,other,5
32,33,Maintenance trade - Electrical,Production,SMR / ATR,other,3
33,34,Maintenance trade - Instrumentation & controls,Production,SMR / ATR,other,2
34,35,Maintenance trade - Mechanical,Production,SMR / ATR,mechanic,3
35,36,Plant operator,Production,SMR / ATR,operator,4
36,37,Automation & controls specialist,Production,CCS,specialist,2
37,38,Facility engineer,Production,CCS,engineer,0
38,39,Measurement specialist,Production,CCS,specialist,7
39,40,Mechanical engineer - Equipment & piping,Production,CCS,engineer,8
40,41,Mechanical engineer - Reliability,Production,CCS,engineer,3
41,42,Process control engineer,Production,CCS,engineer,0
42,43,Process engineer,Production,CCS,engineer,0
43,44,Drilling crew,Storage,Underground,other,8
44,45,Process safety engineer,Production,CCS,engineer,0
45,46,Production engineer,Production,CCS,engineer,0
46,47,Control room operator,Production,CCS,operator,4
47,48,Lab technician,Production,CCS,technician,1
48,49,Maintenance planner,Production,CCS,other,5
49,50,Maintenance trade - Electrical,Production,CCS,other,3
50,51,Electrical & instrumentation engineer,Production,CCS,engineer,6
51,52,Maintenance trade - Instrumentation & controls,Production,CCS,other,2
52,53,Maintenance trade - Mechanical,Production,CCS,mechanic,3
53,54,Plant manager,Production,CCS,manager,4
54,55,Plant operator,Production,CCS,operator,4
55,56,Automation & controls specialist,Production,CCS,specialist,2
56,57,Compression specialist,Production,CCS,specialist,7
57,58,Corrosion specialist,Production,CCS,specialist,8
