Unnamed: 0,occupation_id,core_occupation,value_chain,technology,Category,Cluster
0,1,Automation & controls specialist,Production,PEM,specialist,5
1,2,Chemical/Process engineer,Production,PEM,engineer,7
2,3,Electrical engineer,Production,PEM,engineer,20
3,4,Electrical & instrumentation engineer,Production,PEM,engineer,20
4,5,Facility engineer,Production,PEM,engineer,20
5,6,Measurement specialist,Production,PEM,specialist,15
6,7,Renewable power interconnection specialist,Production,PEM,specialist,12
7,8,Mechanical engineer - Equipment & piping,Production,PEM,engineer,18
8,9,Mechanical engineer - Reliability,Production,PEM,engineer,19
9,10,Process control engineer,Production,PEM,engineer,7
10,11,Process safety engineer,Production,PEM,engineer,7
11,12,Production engineer,Production,PEM,engineer,20
12,13,Control room operator,Production,PEM,operator,6
13,14,Lab technician,Production,PEM,technician,16
14,15,Maintenance planner,Production,PEM,other,13
15,16,Maintenance trade - Electrical,Production,PEM,other,2
16,17,Maintenance trade - Instrumentation & control,Production,PEM,other,1
17,18,Maintenance trade - Mechanical,Production,PEM,mechanic,2
18,19,Hydraulics engineer,Production,CCS,engineer,20
19,20,Plant operator,Production,PEM,operator,4
20,21,Automation & controls specialist,Production,SMR / ATR,specialist,5
21,22,Facility engineer,Production,SMR / ATR,engineer,20
22,23,Measurement specialist,Production,SMR / ATR,specialist,15
23,24,Mechanical engineer - Equipment & piping,Production,SMR / ATR,engineer,18
24,25,Control room operator,Production,SMR / ATR,operator,6
25,26,Mechanical engineer - Reliability,Production,SMR / ATR,engineer,19
26,27,Process control engineer,Production,SMR / ATR,engineer,7
27,28,Process engineer,Production,SMR / ATR,engineer,7
28,29,Process safety engineer,Production,SMR / ATR,engineer,7
29,30,Production engineer,Production,SMR / ATR,engineer,20
30,31,Lab technician,Production,SMR / ATR,technician,16
31,32,Maintenance planner,Production,SMR / ATR,other,13
32,33,Maintenance trade - Electrical,Production,SMR / ATR,other,2
33,34,Maintenance trade - Instrumentation & controls,Production,SMR / ATR,other,1
34,35,Maintenance trade - Mechanical,Production,SMR / ATR,mechanic,2
35,36,Plant operator,Production,SMR / ATR,operator,4
