Unnamed: 0,occupation_id,core_occupation,value_chain,technology,Category
0,1,Automation & controls specialist,Production,PEM,Specialist
1,2,Chemical/Process engineer,Production,PEM,Engineer
2,3,Electrical engineer,Production,PEM,Engineer
3,4,Electrical & instrumentation engineer,Production,PEM,Engineer
4,5,Facility engineer,Production,PEM,Engineer
5,6,Measurement specialist,Production,PEM,Specialist
6,7,Renewable power interconnection specialist,Production,PEM,Specialist
7,8,Mechanical engineer - Equipment & piping,Production,PEM,Engineer
8,9,Mechanical engineer - Reliability,Production,PEM,Engineer
9,10,Process control engineer,Production,PEM,Engineer
10,11,Process safety engineer,Production,PEM,Engineer
11,12,Production engineer,Production,PEM,Engineer
12,13,Control room operator,Production,PEM,Operator
13,14,Lab technician,Production,PEM,Technician
14,15,Maintenance planner,Production,PEM,Other
15,16,Maintenance trade - Electrical,Production,PEM,Other
16,17,Maintenance trade - Instrumentation & control,Production,PEM,Other
17,18,Maintenance trade - Mechanical,Production,PEM,Mechanic
18,19,Hydraulics engineer,Production,CCS,Engineer
19,20,Plant operator,Production,PEM,Operator
20,21,Automation & controls specialist,Production,SMR / ATR,Specialist
21,22,Facility engineer,Production,SMR / ATR,Engineer
22,23,Measurement specialist,Production,SMR / ATR,Specialist
23,24,Mechanical engineer - Equipment & piping,Production,SMR / ATR,Engineer
24,25,Control room operator,Production,SMR / ATR,Operator
25,26,Mechanical engineer - Reliability,Production,SMR / ATR,Engineer
26,27,Process control engineer,Production,SMR / ATR,Engineer
27,28,Process engineer,Production,SMR / ATR,Engineer
28,29,Process safety engineer,Production,SMR / ATR,Engineer
29,30,Production engineer,Production,SMR / ATR,Engineer
30,31,Lab technician,Production,SMR / ATR,Technician
31,32,Maintenance planner,Production,SMR / ATR,Other
32,33,Maintenance trade - Electrical,Production,SMR / ATR,Other
33,34,Maintenance trade - Instrumentation & controls,Production,SMR / ATR,Other
34,35,Maintenance trade - Mechanical,Production,SMR / ATR,Mechanic
35,36,Plant operator,Production,SMR / ATR,Operator
36,37,Automation & controls specialist,Production,CCS,Specialist
37,38,Facility engineer,Production,CCS,Engineer
38,39,Measurement specialist,Production,CCS,Specialist
39,40,Mechanical engineer - Equipment & piping,Production,CCS,Engineer
40,41,Mechanical engineer - Reliability,Production,CCS,Engineer
41,42,Process control engineer,Production,CCS,Engineer
42,43,Process engineer,Production,CCS,Engineer
43,44,Drilling crew,Storage,Underground,Other
44,45,Process safety engineer,Production,CCS,Engineer
45,46,Production engineer,Production,CCS,Engineer
46,47,Control room operator,Production,CCS,Operator
47,48,Lab technician,Production,CCS,Technician
