skill_id,skill,Cluster_Threshold_0.5,Cluster_Threshold_1.0,Cluster_Threshold_1.5,Cluster_Threshold_2.0,Cluster_Threshold_2.5,Cluster_Threshold_3.0,Cluster_Threshold_3.5,Cluster_Threshold_4.0,Cluster_Threshold_4.5,Cluster_Threshold_5.0,Cluster_Threshold_5.5,Cluster_Threshold_6.0,Cluster_Threshold_6.5,Cluster_Threshold_7.0,Cluster_Threshold_7.5,Cluster_Threshold_8.0,Cluster_Threshold_8.5,Cluster_Threshold_9.0,Cluster_Threshold_9.5,Cluster_Threshold_10.0
1,Experience with hydrogen fueling equipment and systems,218,75,31,18,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
2,Experience with on-site hydrogen generation,223,76,31,18,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
3,Experience with hydrogen compression,104,33,12,7,6,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1
4,Experience with hydrogen cooling systems,209,71,29,18,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
5,Experience with hydrogen storage,205,70,29,18,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
6,Experience with hydrogen dispensing,212,72,30,18,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
7,Knowledge of hydrogen technologies,201,69,28,18,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
8,Understanding the socio-economic benefits of hydrogen,26,10,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,Understanding the environmental benefits of hydrogen,27,11,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,Understanding hydrogen's role in addressing climate change,19,8,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,Knowledge of key instrumentation for hydrogen pipelines,245,85,35,21,13,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
12,Knowledge of electrical equipment for hydrogen pipelines,246,85,35,21,13,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
13,Knowledge of systems associated with hydrogen pipeline transmission,247,85,35,21,13,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
14,Knowledge of compression systems in hydrogen pipelines,106,33,12,7,6,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1
15,Knowledge of materials to protect from hydrogen corrosion,154,52,21,13,10,5,5,4,3,2,1,1,1,1,1,1,1,1,1,1
16,Knowledge of coatings for hydrogen corrosion protection,159,55,22,13,10,5,5,4,3,2,1,1,1,1,1,1,1,1,1,1
17,Knowledge of inhibitors for hydrogen corrosion protection,155,53,21,13,10,5,5,4,3,2,1,1,1,1,1,1,1,1,1,1
18,Correct application techniques for corrosion protection,149,50,20,12,10,5,5,4,3,2,1,1,1,1,1,1,1,1,1,1
19,Knowledge of materials to protect from hydrogen corrosion,154,52,21,13,10,5,5,4,3,2,1,1,1,1,1,1,1,1,1,1
20,Knowledge of coatings to protect from hydrogen corrosion and embrittlement,159,55,22,13,10,5,5,4,3,2,1,1,1,1,1,1,1,1,1,1
21,Knowledge of inhibitors to protect from hydrogen corrosion and embrittlement,155,53,21,13,10,5,5,4,3,2,1,1,1,1,1,1,1,1,1,1
22,Knowledge of embrittlement-specific protection strategies,437,159,66,37,23,14,10,9,5,4,3,3,2,2,2,2,2,2,2,1
23,Design of compression systems for hydrogen pressure,110,34,12,7,6,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1
24,Selection of compression systems for hydrogen fueling,108,34,12,7,6,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1
25,Consideration of pressure requirements in hydrogen fueling systems,139,46,19,11,9,4,4,3,3,2,1,1,1,1,1,1,1,1,1,1
26,Consideration of temperature requirements in hydrogen fueling systems,140,46,19,11,9,4,4,3,3,2,1,1,1,1,1,1,1,1,1,1
27,Appropriate selection of stationary equipment for hydrogen pipeline transmission,243,84,35,21,13,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
28,Appropriate selection of rotating equipment for hydrogen pipeline transmission,244,84,35,21,13,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
29,Maintenance of stationary equipment in hydrogen pipeline systems,286,98,42,24,15,8,6,5,3,2,1,1,1,1,1,1,1,1,1,1
30,Maintenance of rotating equipment in hydrogen pipeline systems,286,98,42,24,15,8,6,5,3,2,1,1,1,1,1,1,1,1,1,1
31,Knowledge of hydrogen refueling systems,178,62,26,16,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
32,Operation of hydrogen dispensing systems,210,72,30,18,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
33,Safety procedures during hydrogen refueling,180,62,26,16,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
34,Maintenance of hydrogen refueling equipment,183,64,26,16,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
35,Understanding the chemical properties of hydrogen in a gaseous state,12,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,Understanding the physical characteristics of gaseous hydrogen,12,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,Understanding the behavior of hydrogen in gaseous form,13,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,Understanding of hydrogen technologies,199,69,28,18,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
39,Understanding the economic advantages of hydrogen,26,10,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,Understanding the economic disadvantages of hydrogen,26,10,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,Understanding the social advantages of hydrogen,25,10,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
